,Cumulative_Sum,Canton
2020-02-24,0,TI
2020-02-25,0,TI
2020-02-26,0,TI
2020-02-27,1,TI
2020-02-28,1,TI
2020-02-29,1,TI
2020-03-01,1,TI
2020-03-02,3,TI
2020-03-03,5,TI
2020-03-04,7,TI
2020-03-05,11,TI
2020-03-06,14,TI
2020-03-07,17,TI
2020-03-08,20,TI
2020-03-09,34,TI
2020-03-10,47,TI
2020-03-11,61,TI
2020-03-12,75,TI
2020-03-13,92,TI
2020-03-14,108,TI
2020-03-15,120,TI
2020-03-16,160,TI
2020-03-17,199,TI
2020-03-18,243,TI
2020-03-19,262,TI
2020-03-20,309,TI
2020-03-21,331,TI
2020-03-22,343,TI
2020-03-23,395,TI
2020-03-24,443,TI
2020-03-25,482,TI
2020-03-26,517,TI
2020-03-27,567,TI
2020-03-28,581,TI
2020-03-29,588,TI
2020-03-30,625,TI
2020-03-31,653,TI
2020-04-01,676,TI
2020-04-02,693,TI
2020-04-03,713,TI
2020-04-04,722,TI
2020-04-05,728,TI
2020-04-06,755,TI
2020-04-07,771,TI
2020-04-08,783,TI
2020-04-09,798,TI
2020-04-10,809,TI
2020-04-11,815,TI
2020-04-12,818,TI
2020-04-13,821,TI
2020-04-14,831,TI
2020-04-15,838,TI
2020-04-16,845,TI
2020-04-17,854,TI
2020-04-18,858,TI
2020-04-19,860,TI
2020-04-20,867,TI
2020-04-21,872,TI
2020-04-22,875,TI
2020-04-23,881,TI
2020-04-24,887,TI
2020-04-25,888,TI
2020-04-26,889,TI
2020-04-27,894,TI
2020-04-28,898,TI
2020-04-29,901,TI
2020-04-30,903,TI
2020-05-01,904,TI
2020-05-02,905,TI
2020-05-03,905,TI
2020-05-04,908,TI
2020-05-05,909,TI
2020-05-06,911,TI
2020-05-07,912,TI
2020-05-08,913,TI
2020-05-09,913,TI
2020-05-10,913,TI
2020-05-11,915,TI
2020-05-12,916,TI
2020-05-13,917,TI
2020-05-14,918,TI
2020-05-15,918,TI
2020-05-16,919,TI
2020-05-17,919,TI
2020-05-18,920,TI
2020-05-19,923,TI
2020-05-20,924,TI
2020-05-21,924,TI
2020-05-22,924,TI
2020-05-23,925,TI
2020-05-24,925,TI
2020-05-25,926,TI
2020-05-26,926,TI
2020-05-27,927,TI
2020-05-28,927,TI
2020-05-29,928,TI
2020-05-30,928,TI
2020-05-31,928,TI
2020-06-01,928,TI
2020-06-02,928,TI
2020-06-03,928,TI
2020-06-04,928,TI
2020-06-05,928,TI
2020-06-06,928,TI
2020-06-07,928,TI
2020-06-08,928,TI
2020-06-09,929,TI
2020-06-10,929,TI
2020-06-11,929,TI
2020-06-12,929,TI
2020-06-13,930,TI
2020-06-14,930,TI
