,TI,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,UR,VD,VS,ZG,ZH
0,0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1,0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,11.0,18.0,0.0,1.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0
2,0,0.0,12.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,1.0,16.0,18.0,0.0,1.0,0.0,3.0,0.0,13.0,0.0,0.0,4.0,0.0
3,1,0.0,18.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,4.0,1.0,1.0,5.0,16.0,26.0,0.0,1.0,0.0,3.0,0.0,13.0,0.0,1.0,5.0,0.0
4,1,0.0,18.0,3.0,0.0,1.0,2.0,2.0,2.0,14.0,4.0,1.0,1.0,5.0,16.0,39.0,0.0,2.0,1.0,3.0,0.0,24.0,0.0,1.0,5.0,0.0
5,1,0.0,18.0,5.0,0.0,1.0,2.0,2.0,2.0,24.0,4.0,1.0,1.0,7.0,20.0,39.0,0.0,2.0,2.0,3.0,1.0,30.0,0.0,1.0,5.0,0.0
6,2,0.0,24.0,5.0,1.0,1.0,3.0,2.0,2.0,24.0,5.0,2.0,2.0,10.0,25.0,44.0,1.0,8.0,2.0,3.0,1.0,49.0,1.0,1.0,5.0,0.0
7,3,1.0,31.0,9.0,2.0,2.0,6.0,2.0,2.0,37.0,6.0,6.0,2.0,14.0,25.0,47.0,2.0,12.0,4.0,5.0,2.0,68.0,2.0,1.0,5.0,1.0
8,6,1.0,31.0,9.0,3.0,3.0,11.0,4.0,3.0,47.0,7.0,6.0,3.0,15.0,60.0,52.0,2.0,15.0,4.0,5.0,2.0,85.0,3.0,2.0,5.0,1.0
9,8,1.0,31.0,10.0,3.0,5.0,13.0,5.0,6.0,54.0,7.0,6.0,4.0,18.0,64.0,52.0,4.0,19.0,5.0,6.0,5.0,93.0,4.0,3.0,5.0,1.0
10,12,2.0,31.0,16.0,3.0,6.0,16.0,8.0,8.0,61.0,8.0,6.0,5.0,22.0,74.0,55.0,5.0,35.0,6.0,10.0,5.0,107.0,6.0,4.0,6.0,2.0
11,14,2.0,43.0,18.0,3.0,6.0,20.0,10.0,9.0,71.0,8.0,8.0,7.0,23.0,78.0,60.0,7.0,37.0,13.0,13.0,6.0,123.0,7.0,6.0,9.0,2.0
12,18,2.0,43.0,27.0,4.0,7.0,26.0,12.0,15.0,74.0,14.0,9.0,9.0,31.0,90.0,66.0,9.0,39.0,15.0,15.0,10.0,131.0,11.0,8.0,10.0,3.0
13,20,2.0,43.0,30.0,5.0,8.0,35.0,13.0,19.0,76.0,16.0,13.0,14.0,36.0,94.0,68.0,9.0,41.0,19.0,17.0,13.0,137.0,16.0,15.0,13.0,5.0
14,34,3.0,55.0,38.0,8.0,13.0,56.0,16.0,25.0,96.0,22.0,13.0,21.0,39.0,99.0,68.0,15.0,42.0,22.0,27.0,16.0,148.0,26.0,20.0,13.0,8.0
15,47,4.0,61.0,50.0,9.0,18.0,68.0,18.0,35.0,99.0,26.0,19.0,28.0,46.0,104.0,74.0,20.0,45.0,29.0,31.0,18.0,153.0,35.0,26.0,16.0,10.0
16,61,5.0,61.0,54.0,11.0,26.0,80.0,25.0,50.0,108.0,33.0,23.0,32.0,57.0,111.0,81.0,25.0,48.0,31.0,44.0,25.0,161.0,47.0,29.0,24.0,14.0
17,75,6.0,61.0,56.0,13.0,28.0,89.0,34.0,63.0,113.0,38.0,28.0,38.0,73.0,124.0,92.0,29.0,48.0,35.0,47.0,26.0,170.0,60.0,46.0,27.0,16.0
18,92,7.0,80.0,56.0,19.0,33.0,99.0,42.0,69.0,123.0,47.0,32.0,41.0,84.0,134.0,97.0,37.0,50.0,41.0,51.0,27.0,175.0,72.0,61.0,29.0,19.0
19,108,8.0,99.0,61.0,24.0,44.0,115.0,48.0,94.0,128.0,60.0,36.0,45.0,92.0,164.0,103.0,39.0,52.0,48.0,52.0,31.0,175.0,102.0,85.0,35.0,27.0
20,121,13.0,99.0,67.0,30.0,53.0,134.0,59.0,127.0,128.0,78.0,42.0,55.0,95.0,168.0,108.0,41.0,53.0,53.0,55.0,36.0,175.0,133.0,96.0,39.0,36.0
