date,canton_code,canton_names,bag_falle,bag_tode,bag_cum_falle,bag_cum_tode,bag_hosp,bag_cum_hosp,date_t0,t,NUTS3
2020-02-24,AG,Aargau,0,0,0,0,0,0,2020-02-25,0,CH033
2020-02-25,AG,Aargau,1,0,1,0,1,1,2020-02-25,1,CH033
2020-02-26,AG,Aargau,0,0,1,0,0,1,2020-02-25,2,CH033
2020-02-27,AG,Aargau,0,0,1,0,0,1,2020-02-25,3,CH033
2020-02-28,AG,Aargau,0,0,1,0,0,1,2020-02-25,4,CH033
2020-02-29,AG,Aargau,2,0,3,0,2,3,2020-02-25,5,CH033
2020-03-01,AG,Aargau,2,0,5,0,0,3,2020-02-25,6,CH033
2020-03-02,AG,Aargau,1,0,6,0,2,5,2020-02-25,7,CH033
2020-03-03,AG,Aargau,1,0,7,0,1,6,2020-02-25,8,CH033
2020-03-04,AG,Aargau,3,0,10,0,3,9,2020-02-25,9,CH033
2020-03-05,AG,Aargau,2,0,12,0,0,9,2020-02-25,10,CH033
2020-03-06,AG,Aargau,2,0,14,0,0,9,2020-02-25,11,CH033
2020-03-07,AG,Aargau,0,0,14,0,0,9,2020-02-25,12,CH033
2020-03-08,AG,Aargau,1,0,15,0,0,9,2020-02-25,13,CH033
2020-03-09,AG,Aargau,3,0,18,0,0,9,2020-02-25,14,CH033
2020-03-10,AG,Aargau,3,0,21,0,0,9,2020-02-25,15,CH033
2020-03-11,AG,Aargau,7,0,28,0,0,9,2020-02-25,16,CH033
2020-03-12,AG,Aargau,7,0,35,0,1,10,2020-02-25,17,CH033
2020-03-13,AG,Aargau,6,0,41,0,1,11,2020-02-25,18,CH033
2020-03-14,AG,Aargau,10,0,51,0,2,13,2020-02-25,19,CH033
2020-03-15,AG,Aargau,8,0,59,0,2,15,2020-02-25,20,CH033
2020-03-16,AG,Aargau,33,0,92,0,5,20,2020-02-25,21,CH033
2020-03-17,AG,Aargau,36,0,128,0,3,23,2020-02-25,22,CH033
2020-03-18,AG,Aargau,35,0,163,0,5,28,2020-02-25,23,CH033
2020-03-19,AG,Aargau,32,1,195,1,2,30,2020-02-25,24,CH033
2020-03-20,AG,Aargau,37,0,232,1,2,32,2020-02-25,25,CH033
2020-03-21,AG,Aargau,11,0,243,1,1,33,2020-02-25,26,CH033
2020-03-22,AG,Aargau,9,0,252,1,1,34,2020-02-25,27,CH033
2020-03-23,AG,Aargau,42,1,294,2,8,42,2020-02-25,28,CH033
2020-03-24,AG,Aargau,54,0,348,2,8,50,2020-02-25,29,CH033
2020-03-25,AG,Aargau,46,0,394,2,9,59,2020-02-25,30,CH033
2020-03-26,AG,Aargau,35,1,429,3,14,73,2020-02-25,31,CH033
2020-03-27,AG,Aargau,54,2,483,5,5,78,2020-02-25,32,CH033
2020-03-28,AG,Aargau,22,3,505,8,6,84,2020-02-25,33,CH033
2020-03-29,AG,Aargau,18,1,523,9,6,90,2020-02-25,34,CH033
2020-03-30,AG,Aargau,59,2,582,11,4,94,2020-02-25,35,CH033
2020-03-31,AG,Aargau,42,0,624,11,6,100,2020-02-25,36,CH033
2020-04-01,AG,Aargau,37,0,661,11,0,100,2020-02-25,37,CH033
2020-04-02,AG,Aargau,33,3,694,14,5,105,2020-02-25,38,CH033
2020-04-03,AG,Aargau,40,1,734,15,6,111,2020-02-25,39,CH033
2020-04-04,AG,Aargau,23,3,757,18,2,113,2020-02-25,40,CH033
2020-04-05,AG,Aargau,11,1,768,19,3,116,2020-02-25,41,CH033
2020-04-06,AG,Aargau,43,0,811,19,7,123,2020-02-25,42,CH033
2020-04-07,AG,Aargau,35,0,846,19,7,130,2020-02-25,43,CH033
2020-04-08,AG,Aargau,22,3,868,22,1,131,2020-02-25,44,CH033
2020-04-09,AG,Aargau,25,0,893,22,3,134,2020-02-25,45,CH033
2020-04-10,AG,Aargau,11,3,904,25,0,134,2020-02-25,46,CH033
2020-04-11,AG,Aargau,5,1,909,26,2,136,2020-02-25,47,CH033
2020-04-12,AG,Aargau,8,0,917,26,2,138,2020-02-25,48,CH033
2020-04-13,AG,Aargau,12,0,929,26,0,138,2020-02-25,49,CH033
2020-04-14,AG,Aargau,24,2,953,28,3,141,2020-02-25,50,CH033
2020-04-15,AG,Aargau,16,0,969,28,1,142,2020-02-25,51,CH033
2020-04-16,AG,Aargau,19,1,988,29,1,143,2020-02-25,52,CH033
2020-04-17,AG,Aargau,23,0,1011,29,3,146,2020-02-25,53,CH033
2020-04-18,AG,Aargau,5,0,1016,29,0,146,2020-02-25,54,CH033
2020-04-19,AG,Aargau,0,0,1016,29,0,146,2020-02-25,55,CH033
2020-04-20,AG,Aargau,13,1,1029,30,1,147,2020-02-25,56,CH033
2020-04-21,AG,Aargau,15,2,1044,32,3,150,2020-02-25,57,CH033
2020-04-22,AG,Aargau,14,1,1058,33,0,150,2020-02-25,58,CH033
2020-04-23,AG,Aargau,12,1,1070,34,3,153,2020-02-25,59,CH033
2020-04-24,AG,Aargau,12,0,1082,34,0,153,2020-02-25,60,CH033
2020-04-25,AG,Aargau,5,1,1087,35,4,157,2020-02-25,61,CH033
2020-04-26,AG,Aargau,1,0,1088,35,0,157,2020-02-25,62,CH033
2020-04-27,AG,Aargau,11,0,1099,35,0,157,2020-02-25,63,CH033
2020-04-28,AG,Aargau,4,0,1103,35,2,159,2020-02-25,64,CH033
2020-04-29,AG,Aargau,9,2,1112,37,2,161,2020-02-25,65,CH033
2020-04-30,AG,Aargau,7,0,1119,37,0,161,2020-02-25,66,CH033
2020-05-01,AG,Aargau,5,1,1124,38,0,161,2020-02-25,67,CH033
2020-05-02,AG,Aargau,3,0,1127,38,1,162,2020-02-25,68,CH033
2020-05-03,AG,Aargau,0,0,1127,38,1,163,2020-02-25,69,CH033
