Canton code,2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020
AG,690445,690545,690603,690738,690877
AI,16192,16203,16205,16198,16199
AR,55541,55533,55535,55543,55547
BE,1045579,1045480,1045387,1045307,1045267
BL,291063,291031,291016,290941,290882
BS,199213,199179,199174,199071,199020
FR,323499,323590,323674,323724,323762
GE,507442,507550,507613,507646,507592
GL,40904,40915,40919,40911,40900
GR,206336,206302,206276,206244,206257
JU,73804,73795,73780,73755,73763
LU,415919,415954,416027,416107,416188
NE,177790,177786,177765,177722,177686
NW,43280,43289,43298,43299,43306
OW,38269,38263,38258,38257,38259
SG,513553,513626,513681,513681,513783
SH,83013,83018,83012,82998,82988
SO,277160,277134,277142,277131,277100
SZ,161175,161185,161200,161211,161235
TG,281393,281461,281493,281521,281567
TI,354264,354219,354158,353905,353621
UR,37037,37038,37037,37040,37026
VD,815261,815438,815590,815627,815561
VS,354148,354167,354208,354179,354096
ZG,129458,129477,129510,129562,129569
ZH,1550173,1550448,1550810,1551155,1551461
