Canton code,2019,Q1 2020,Q2 2020,Q3 2020
AG,690445,691554,693676,696639
AI,16192,16207,16240,16289
AR,55541,55471,55426,55478
BE,1045579,1045678,1046496,1048512
BL,291063,290966,291444,292244
BS,199213,199730,199393,199980
FR,323499,324128,324836,325818
GE,507442,507535,507544,508527
GL,40904,41022,41081,41138
GR,206336,204427,203393,203885
JU,73804,73687,73714,73923
LU,415919,416791,417184,418659
NE,177790,177575,177311,177499
NW,43280,43215,43287,43449
OW,38269,38211,38190,38312
SG,513553,514408,515179,517439
SH,83013,83061,83250,83602
SO,277160,277383,277834,279050
SZ,161175,160915,161274,162029
TG,281393,281745,283300,284771
TI,354264,353354,352926,353502
UR,37037,37017,36951,37009
VD,815261,816233,816356,820672
VS,354148,353529,352017,353591
ZG,129458,129101,129201,129609
ZH,1550173,1552721,1553722,1559699
