"Year";"Canton";"Population type";Permanent and non permanent resident population
"2019";"Zürich";"Permanent resident population";1539275
"2019";"Zürich";"Non permanent resident population";10898
"2019";"Bern / Berne";"Permanent resident population";1039474
"2019";"Bern / Berne";"Non permanent resident population";6105
"2019";"Luzern";"Permanent resident population";413120
"2019";"Luzern";"Non permanent resident population";2799
"2019";"Uri";"Permanent resident population";36703
"2019";"Uri";"Non permanent resident population";334
"2019";"Schwyz";"Permanent resident population";160480
"2019";"Schwyz";"Non permanent resident population";695
"2019";"Obwalden";"Permanent resident population";37930
"2019";"Obwalden";"Non permanent resident population";339
"2019";"Nidwalden";"Permanent resident population";43087
"2019";"Nidwalden";"Non permanent resident population";193
"2019";"Glarus";"Permanent resident population";40590
"2019";"Glarus";"Non permanent resident population";314
"2019";"Zug";"Permanent resident population";127642
"2019";"Zug";"Non permanent resident population";1816
"2019";"Fribourg / Freiburg";"Permanent resident population";321783
"2019";"Fribourg / Freiburg";"Non permanent resident population";1716
"2019";"Solothurn";"Permanent resident population";275247
"2019";"Solothurn";"Non permanent resident population";1913
"2019";"Basel-Stadt";"Permanent resident population";195844
"2019";"Basel-Stadt";"Non permanent resident population";3369
"2019";"Basel-Landschaft";"Permanent resident population";289468
"2019";"Basel-Landschaft";"Non permanent resident population";1595
"2019";"Schaffhausen";"Permanent resident population";82348
"2019";"Schaffhausen";"Non permanent resident population";665
"2019";"Appenzell Ausserrhoden";"Permanent resident population";55445
"2019";"Appenzell Ausserrhoden";"Non permanent resident population";96
"2019";"Appenzell Innerrhoden";"Permanent resident population";16128
"2019";"Appenzell Innerrhoden";"Non permanent resident population";64
"2019";"St. Gallen";"Permanent resident population";510734
"2019";"St. Gallen";"Non permanent resident population";2819
"2019";"Graubünden / Grigioni / Grischun";"Permanent resident population";199021
"2019";"Graubünden / Grigioni / Grischun";"Non permanent resident population";7315
"2019";"Aargau";"Permanent resident population";685845
"2019";"Aargau";"Non permanent resident population";4600
"2019";"Thurgau";"Permanent resident population";279547
"2019";"Thurgau";"Non permanent resident population";1846
"2019";"Ticino";"Permanent resident population";351491
"2019";"Ticino";"Non permanent resident population";2773
"2019";"Vaud";"Permanent resident population";805098
"2019";"Vaud";"Non permanent resident population";10163
"2019";"Valais / Wallis";"Permanent resident population";345525
"2019";"Valais / Wallis";"Non permanent resident population";8623
"2019";"Neuchâtel";"Permanent resident population";176496
"2019";"Neuchâtel";"Non permanent resident population";1294
"2019";"Genève";"Permanent resident population";504128
"2019";"Genève";"Non permanent resident population";3314
"2019";"Jura";"Permanent resident population";73584
"2019";"Jura";"Non permanent resident population";220
