"Arbeitskanton";"2019Q1";"2019Q2";"2019Q3";"2019Q4";"2020Q1";"2020Q2";"2020Q3";"2020Q4"
"Schweiz";328415.2;333012.6;335570.9;338992.0;339354.1;340257.9;341991.7;343808.7
"Zürich";10230.6;10342.3;10392.2;10448.1;10455.8;10462.1;10484.3;10470.8
"Bern / Berne";3268.9;3349.0;3480.9;3539.8;3570.9;3622.2;3634.0;3687.6
"Luzern";621.0;625.7;632.7;648.7;672.0;677.0;678.7;684.8
"Uri";42.5;48.6;48.7;53.3;43.2;43.1;40.8;32.7
"Schwyz";368.3;373.5;385.0;390.9;386.8;391.1;402.5;394.5
"Obwalden";132.8;135.3;132.3;134.3;141.0;156.5;172.2;161.9
"Nidwalden";93.8;91.7;92.9;96.8;95.4;97.5;97.0;103.2
"Glarus";69.7;74.1;74.0;68.7;70.5;74.3;66.1;63.6
"Zug";1013.9;1030.6;1042.1;1049.7;1073.0;1086.6;1099.8;1115.8
"Fribourg / Freiburg";992.1;1000.1;1049.7;1055.3;1073.3;1079.7;1119.8;1140.8
"Solothurn";2238.1;2181.7;2156.1;2123.9;2124.2;2131.8;2116.2;2125.5
"Basel-Stadt";34158.7;34096.1;34236.5;34380.1;34363.1;34417.0;34550.5;34426.4
"Basel-Landschaft";21910.9;22053.0;22383.5;22552.9;22682.3;22747.9;22908.4;23117.3
"Schaffhausen";4898.0;4942.5;5034.9;4999.6;5035.8;5067.3;5084.9;5098.0
"Appenzell Ausserrhoden";395.3;393.5;391.9;401.5;410.4;411.0;416.6;411.1
"Appenzell Innerrhoden";105.3;106.2;111.0;102.9;101.3;108.8;110.3;113.3
"St. Gallen";9103.6;9175.5;9224.3;9251.9;9367.9;9432.2;9432.1;9394.9
"Graubünden / Grigioni / Grischun";6730.4;6828.2;6899.1;7207.6;7195.6;7255.4;7509.9;7803.7
"Aargau";14015.4;14137.2;14312.5;14336.4;14478.4;14560.9;14605.3;14667.5
"Thurgau";5499.4;5509.6;5582.9;5644.4;5727.0;5766.4;5806.6;5892.1
"Ticino";68620.0;69479.5;69834.6;69591.9;69570.0;69123.8;69917.3;70115.0
"Vaud";31824.5;32446.8;32930.4;33335.8;33801.0;34014.1;34339.4;34569.5
"Valais / Wallis";3187.9;3301.7;3370.5;3362.4;3506.0;3544.4;3650.0;3660.4
"Neuchâtel";12704.0;12958.7;13149.1;13229.9;13347.8;13358.0;13213.2;13236.4
"Genève";87524.9;89527.2;89804.7;92095.5;91102.7;91739.2;91773.1;92510.8
"Jura";8665.3;8804.2;8818.6;8889.8;8958.8;8889.5;8762.6;8811.2
