canton_names,canton_codes,MIP_canton_names,NUTS3
Aargau,AG,Aargau,CH033
Appenzell Ausserrhoden,AR,Appenzell-Ausserrhoden,CH053
Appenzell Innerrhoden,AI,Appenzell-Innerrhoden,CH054
Basel-Landschaft,BL,Basel-Landschaft,CH032
Basel-Stadt,BS,Basel-Stadt,CH031
Bern,BE,Bern,CH021
Freiburg,FR,Freiburg,CH022
Genf,GE,Geneve,CH013
Glarus,GL,Glarus,CH051
Graubünden,GR,Graubunden,CH056
Jura,JU,Jura,CH025
Luzern,LU,Luzern,CH061
Neuenburg,NE,Neuchatel,CH024
Nidwalden,NW,Nidwalden,CH065
Obwalden,OW,Obwalden,CH064
Schaffhausen,SH,Schaffhausen,CH052
Schwyz,SZ,Schwyz,CH063
Solothurn,SO,Solothurn ,CH023
St. Gallen,SG,Sankt-Gallen,CH055
Tessin,TI,Ticino,CH070
Thurgau,TG,Thurgau,CH057
Uri,UR,Uri,CH062
Waadt,VD,Waadt,CH011
Wallis,VS,Wallis,CH012
Zug,ZG,Zug,CH066
Zürich,ZH,Zurich,CH040
Liechtenstein,FL,,
