date,canton_codes,avg_distance_km
2020-02-01,AG,44.05
2020-02-02,AG,27.8
2020-02-03,AG,42.56
2020-02-04,AG,44.89
2020-02-05,AG,47.05
2020-02-06,AG,49.67
2020-02-07,AG,52.28
2020-02-08,AG,44.58
2020-02-09,AG,33.25
2020-02-10,AG,38.66
2020-02-11,AG,43.15
2020-02-12,AG,46.68
2020-02-13,AG,47.24
2020-02-14,AG,50.52
2020-02-15,AG,43.9
2020-02-16,AG,32.22
2020-02-17,AG,42.73
2020-02-18,AG,46.56
2020-02-19,AG,45.92
2020-02-20,AG,48.13
2020-02-21,AG,50.13
2020-02-22,AG,43.64
2020-02-23,AG,29.54
2020-02-24,AG,44.71
2020-02-25,AG,44.69
2020-02-26,AG,44.74
2020-02-27,AG,45.36
2020-02-28,AG,48.96
2020-02-29,AG,37.94
2020-03-01,AG,29.54
2020-03-02,AG,41.02
2020-03-03,AG,43.59
2020-03-04,AG,45.75
2020-03-05,AG,44.12
2020-03-06,AG,46.86
2020-03-07,AG,37.78
2020-03-08,AG,31.35
2020-03-09,AG,41.5
2020-03-10,AG,42.57
2020-03-11,AG,44.72
2020-03-12,AG,43.82
2020-03-13,AG,44.59
2020-03-14,AG,30.28
2020-03-15,AG,26.31
2020-03-16,AG,36.02
2020-03-17,AG,29.96
2020-03-18,AG,29.51
2020-03-19,AG,28.51
2020-03-20,AG,27.45
2020-03-21,AG,14.7
2020-03-22,AG,10.57
2020-03-23,AG,24.05
2020-03-24,AG,24.15
2020-03-25,AG,24.42
2020-03-26,AG,24.39
2020-03-27,AG,26.05
2020-03-28,AG,19.92
2020-03-29,AG,10.43
2020-03-30,AG,22.89
2020-03-31,AG,25.14
2020-04-01,AG,26.01
2020-04-02,AG,26.24
2020-04-03,AG,27.13
2020-04-04,AG,19.11
2020-04-05,AG,16.78
2020-04-06,AG,25.91
2020-04-07,AG,22.2
2020-04-08,AG,28.3
2020-04-09,AG,30.21
2020-04-10,AG,18.85
2020-04-11,AG,22.03
2020-04-12,AG,18.12
2020-04-13,AG,17.36
2020-04-14,AG,27.01
2020-04-15,AG,28.94
2020-04-16,AG,27.92
2020-04-17,AG,30.36
2020-04-18,AG,22.91
2020-04-19,AG,19.33
2020-04-20,AG,27.24
2020-04-21,AG,27.82
2020-04-22,AG,25.92
2020-04-23,AG,32.28
2020-04-24,AG,33.23
2020-04-25,AG,25.29
2020-04-26,AG,19.71
2020-04-27,AG,31.72
2020-04-28,AG,29.75
2020-04-29,AG,32.78
2020-04-30,AG,32.18
2020-05-01,AG,27.34
2020-05-02,AG,22.35
2020-05-03,AG,22.14
2020-05-04,AG,32.74
2020-05-05,AG,31.92
2020-05-06,AG,35.07
2020-05-07,AG,38.01
2020-05-08,AG,38.55
2020-05-09,AG,29.42
2020-05-10,AG,25.39
2020-05-11,AG,31.95
2020-05-12,AG,34.93
2020-05-13,AG,28.44
2020-05-14,AG,29.16
2020-05-15,AG,38.91
2020-05-16,AG,32.38
2020-05-17,AG,31.27
2020-05-18,AG,39.64
2020-05-19,AG,41.85
2020-05-20,AG,47.65
2020-05-21,AG,41.23
2020-05-22,AG,43.2
2020-05-23,AG,29.27
2020-05-24,AG,30.17
2020-05-25,AG,40.13
2020-05-26,AG,42.47
2020-05-27,AG,43.05
2020-05-28,AG,40.91
2020-05-29,AG,46.5
2020-05-30,AG,39.29
2020-05-31,AG,38.65
2020-06-01,AG,36.35
2020-02-01,AI,37.19
2020-02-02,AI,26.41
2020-02-03,AI,33.99
2020-02-04,AI,34.12
2020-02-05,AI,34.69
2020-02-06,AI,40.64
2020-02-07,AI,41.92
2020-02-08,AI,40.54
2020-02-09,AI,38.51
2020-02-10,AI,32.02
2020-02-11,AI,32.54
2020-02-12,AI,36.41
2020-02-13,AI,38.02
2020-02-14,AI,38.15
2020-02-15,AI,37.89
2020-02-16,AI,34.81
2020-02-17,AI,34.75
2020-02-18,AI,37.94
2020-02-19,AI,35.57
2020-02-20,AI,36.48
2020-02-21,AI,41.51
2020-02-22,AI,33.21
2020-02-23,AI,34.56
2020-02-24,AI,38.61
2020-02-25,AI,39.82
2020-02-26,AI,36.68
2020-02-27,AI,37.36
2020-02-28,AI,41.65
2020-02-29,AI,34.8
2020-03-01,AI,32.93
2020-03-02,AI,35.12
2020-03-03,AI,35.45
2020-03-04,AI,37.78
2020-03-05,AI,36.96
2020-03-06,AI,37.47
2020-03-07,AI,34.1
2020-03-08,AI,35.92
2020-03-09,AI,33.64
2020-03-10,AI,34.42
2020-03-11,AI,36.23
2020-03-12,AI,37.49
2020-03-13,AI,35.73
2020-03-14,AI,28.12
2020-03-15,AI,29.01
2020-03-16,AI,31.22
2020-03-17,AI,25.7
2020-03-18,AI,26.58
2020-03-19,AI,26.4
2020-03-20,AI,25.22
2020-03-21,AI,13.83
2020-03-22,AI,11.25
2020-03-23,AI,21.13
2020-03-24,AI,21.82
2020-03-25,AI,21.97
2020-03-26,AI,20.82
2020-03-27,AI,23.35
2020-03-28,AI,20.34
2020-03-29,AI,11.71
2020-03-30,AI,18.49
2020-03-31,AI,20.67
2020-04-01,AI,23.16
2020-04-02,AI,24.19
2020-04-03,AI,23.21
2020-04-04,AI,19.51
2020-04-05,AI,19.18
2020-04-06,AI,24.35
2020-04-07,AI,22.57
2020-04-08,AI,27.65
2020-04-09,AI,27.9
2020-04-10,AI,20.35
2020-04-11,AI,22.71
2020-04-12,AI,20.64
2020-04-13,AI,22.87
2020-04-14,AI,23.62
2020-04-15,AI,25.53
2020-04-16,AI,27.63
2020-04-17,AI,28.75
2020-04-18,AI,23.89
2020-04-19,AI,23.67
2020-04-20,AI,25.2
2020-04-21,AI,26.25
2020-04-22,AI,25.87
2020-04-23,AI,31.72
2020-04-24,AI,31.87
2020-04-25,AI,23.72
2020-04-26,AI,23.26
2020-04-27,AI,29.43
2020-04-28,AI,27.65
2020-04-29,AI,29.07
2020-04-30,AI,28.73
2020-05-01,AI,26.83
2020-05-02,AI,22.38
2020-05-03,AI,29.02
2020-05-04,AI,30.17
2020-05-05,AI,28.41
2020-05-06,AI,34.16
2020-05-07,AI,39.13
2020-05-08,AI,40.45
2020-05-09,AI,33.31
2020-05-10,AI,31.6
2020-05-11,AI,30.31
2020-05-12,AI,32.35
2020-05-13,AI,29.63
2020-05-14,AI,31.29
2020-05-15,AI,38.06
2020-05-16,AI,33.52
2020-05-17,AI,43.3
2020-05-18,AI,44.96
2020-05-19,AI,42.14
2020-05-20,AI,50.63
2020-05-21,AI,56.42
2020-05-22,AI,58.21
2020-05-23,AI,44.59
2020-05-24,AI,48.23
2020-05-25,AI,46.51
2020-05-26,AI,50.46
2020-05-27,AI,50.31
2020-05-28,AI,47.47
2020-05-29,AI,52.68
2020-05-30,AI,51.95
2020-05-31,AI,57.67
2020-06-01,AI,64.16
2020-02-01,AR,41.15
2020-02-02,AR,26.7
2020-02-03,AR,37.42
2020-02-04,AR,38.14
2020-02-05,AR,40.29
2020-02-06,AR,44.22
2020-02-07,AR,47.91
2020-02-08,AR,44.63
2020-02-09,AR,38.68
2020-02-10,AR,34.86
2020-02-11,AR,38.73
2020-02-12,AR,41.5
2020-02-13,AR,42.27
2020-02-14,AR,46.4
2020-02-15,AR,44.29
2020-02-16,AR,36.1
2020-02-17,AR,39.13
2020-02-18,AR,42.33
2020-02-19,AR,42.53
2020-02-20,AR,44.44
2020-02-21,AR,46.04
2020-02-22,AR,46.6
2020-02-23,AR,30.35
