,Ticino,Glarus,Nidwalden,Appenzell-Ausserrhoden,Schaffhausen,Uri,Thurgau,Neuchatel,Jura,Basel-Landschaft,Zug,Zurich,Luzern,Freiburg,Appenzell-Innerrhoden,Obwalden,Geneva,Basel-Stadt,Solothurn,Schwyz,Aargau,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2018-12-31,85959,15581,17852,17351,20800,10052,74621,40143,14617,92359,46881,412634,118174,80026,3679,8849,94838,80410,102078,53514,189278,296587,69347,156506,217453,99310
2019-01-01,37099,9517,9465,8501,8932,7259,28468,16520,6498,35350,17288,145236,49448,32254,2222,4796,49481,32038,38174,26057,65621,122730,41896,71832,88456,51378
2019-01-02,120119,15748,14583,19383,13958,12043,54581,33128,8562,152408,37523,251810,84828,58710,3919,6764,164920,135566,78799,58742,136263,157121,66165,182321,134226,99998
2019-01-03,143059,25315,34345,33332,42014,16316,141029,70542,22526,212452,113906,837557,230555,132491,6112,16276,265212,185030,206882,100039,388900,519026,93324,313505,374064,130831
2019-01-04,143439,26838,34258,33004,41596,16513,139776,70488,23024,207806,112986,829768,229981,133823,6090,16056,266875,181546,202726,100992,380716,511565,94819,314716,376127,131857
2019-01-05,65480,11818,13754,12794,16034,9218,53495,32879,12504,66124,35269,281719,87387,60779,2691,7196,96012,58632,72328,40294,132761,215538,47133,120035,166100,71081
2019-01-06,42518,9115,8693,8322,9553,6989,31493,19576,7503,40800,21133,172081,50255,38215,1847,4483,63142,35260,43814,27797,75394,129615,33315,74228,105123,46431
2019-01-07,207456,31205,43034,40804,56427,20248,192013,123613,40691,282924,168327,1208078,302804,201416,6838,19955,443729,260221,287012,133388,544523,749899,100556,398282,609111,161616
2019-01-08,207166,29417,41709,41508,56286,19147,193118,124353,40710,286581,167255,1221250,305379,199797,6971,19974,446692,265967,286371,132650,547579,755622,96542,395147,608029,157785
2019-01-09,202195,28345,40519,40116,54736,18361,188644,119690,39386,280161,164303,1199577,298676,193106,6804,19399,423142,259738,278734,129407,535470,730671,92047,385377,583480,150161
2019-01-10,208309,30182,41567,39203,55770,18934,187567,125117,41020,285089,166931,1215783,304543,199906,6979,19987,453204,266421,288110,131021,545059,758994,98002,385812,611355,160351
2019-01-11,210968,35113,42371,40322,54798,21766,188126,123605,41989,273962,161878,1177189,300898,200276,7315,20268,446796,250393,280424,135735,528587,736770,109233,398195,610757,171001
2019-01-12,68684,13692,15324,14976,16872,9594,61465,37599,14846,71095,38422,312698,98128,68631,3253,7869,108128,61449,79516,46275,147040,233158,50862,133933,185320,75894
2019-01-13,40839,10486,8868,8563,8994,6365,32398,20341,8047,40395,22087,172619,52624,40434,1949,4510,66687,34950,44288,28977,78303,130209,34111,76775,108712,44080
2019-01-14,221576,31993,44660,43286,58228,19448,204757,132212,43265,297215,177796,1302790,321575,215484,7027,21464,483611,273855,308899,140857,588134,806384,98466,415590,656157,165546
2019-01-15,220765,32654,46644,44582,58723,19219,206037,133746,43749,303278,179992,1329958,329623,217501,7456,22492,485228,282261,311919,143274,598198,824152,104272,422378,666522,171343
2019-01-16,218021,33702,45388,45638,56752,20598,202059,130832,42767,298295,175271,1306189,323176,213914,7714,22315,460735,275775,306400,144312,585687,809071,107575,422383,646238,170077
2019-01-17,219295,34483,45822,43915,57922,20699,203233,132671,43173,299190,176445,1310201,325300,214512,7189,22605,477997,279054,308488,142227,587771,810925,107967,419706,654952,170040
2019-01-18,215742,40753,44755,42442,55268,22256,193858,127461,42718,275494,165552,1216889,308384,207034,7554,21972,451614,255025,286124,144693,546189,755168,118188,417935,629796,177250
2019-01-19,67858,16355,16395,16324,17460,9395,64073,38838,15196,73707,40223,325338,102006,72240,3636,9045,109215,63425,83976,50462,154969,245518,57619,144504,191811,79664
2019-01-20,42403,14123,11321,10203,10129,7860,36912,22216,9329,43479,24977,193460,59138,45845,2588,6248,68600,36608,50457,36282,88871,151999,46333,94535,122692,55864
2019-01-21,226393,36011,46347,44565,59498,21045,208869,135327,45246,308447,180753,1346788,328256,222914,7404,23028,493604,282297,317454,146554,603788,829099,111823,429719,679403,175657
2019-01-22,208097,32573,43637,42986,55814,19667,193191,126533,41664,289016,171486,1272254,307814,205462,7230,21715,453101,262541,295627,138887,571072,775574,100445,399085,633972,161601
2019-01-23,142195,24075,30299,31523,39987,13743,139129,86933,28074,202673,120570,901088,214336,139415,5275,14883,298815,185557,205332,99060,407145,529092,68725,280073,427156,106089
2019-01-24,152401,25652,31562,32594,41693,14733,144477,92391,29841,209604,124151,935931,223264,146904,5471,15333,328371,193231,214373,103721,422251,556311,74642,294428,457653,112726
2019-01-25,197415,38022,41050,40213,52082,20832,181776,114973,38404,253945,152260,1131896,281001,188881,6987,20536,407725,229991,263011,135448,506203,689595,108623,384733,573784,162006
2019-01-26,69175,15052,15644,14079,16692,9384,60179,37406,14676,70727,40322,315414,97202,71460,2956,8225,106065,63333,82254,47662,148320,237344,55418,134748,184305,77515
2019-01-27,39397,13737,10343,8599,9639,7616,33398,20743,9166,42386,25045,187860,56260,42971,1949,5593,64244,36358,49740,34116,85001,143454,44705,85745,112504,50347
2019-01-28,253668,37517,52483,43564,60652,23566,206484,148136,50990,341451,202017,1488121,368918,248154,7496,25742,525837,312133,353492,161681,649181,931173,123149,439027,743691,200817
2019-01-29,258359,37343,53527,45260,61598,23741,209948,154977,51545,355719,206975,1543772,383450,253146,8165,26489,541882,325620,366193,166986,669968,967196,124515,448135,753854,202575
2019-01-30,250159,36787,52685,44471,59790,23378,207171,148118,51253,349269,205275,1510103,377946,248799,8080,25901,502781,318876,357048,164009,657556,941046,123031,443602,726242,198553
2019-01-31,258493,38431,52509,44131,59628,23745,206123,152413,52457,350839,205963,1521089,380408,253129,8106,26290,537754,321359,360936,165117,662130,955031,126241,446275,751783,202535
2019-02-01,214737,42446,51482,43050,57098,24640,197056,141921,49801,322624,192406,1394429,360308,234246,8053,25681,484092,287314,332808,163273,613814,877258,127961,440182,688018,204800
2019-02-02,71061,15018,16301,14630,16576,9735,62413,40194,16290,75996,40056,331541,102852,71869,3250,8938,110917,67175,85157,49178,152051,249927,53560,139412,190990,81713
2019-02-03,42098,10928,9117,8317,9069,6443,33874,21508,8872,42062,23120,184003,54457,41844,1914,4891,67349,36778,46918,30927,79916,141157,35693,81084,109324,49862
2019-02-04,272427,43343,55957,54720,64166,25265,253578,163136,55720,366563,204904,1558500,396307,274753,9334,28143,553789,328944,363366,177009,672953,969879,136053,513558,806765,233032
2019-02-05,270344,42725,56501,55440,64959,24926,253454,163898,55639,374349,205031,1593163,398940,275581,9318,28319,555281,339493,366437,178556,682918,991244,134606,512058,808111,228666
2019-02-06,269272,42197,56201,55154,64800,25877,252441,160512,56379,371895,202964,1567203,398400,270253,9412,28284,528732,336634,362497,177738,675536,973829,135263,510839,780560,225009
2019-02-07,273856,43314,56910,54723,65277,25776,253869,163091,56912,372700,206075,1589207,403756,274936,9000,28534,561281,338727,365419,179414,681449,989243,135399,516024,808050,230361
2019-02-08,262477,47734,53872,52520,61550,26518,240211,153782,54506,339070,185926,1443109,376971,256302,9145,27286,525436,302764,331417,175080,623032,900264,139371,500517,759524,228485
2019-02-09,74069,15174,15555,15652,16561,9417,65327,38564,15274,77094,37362,312725,97687,67903,3145,8313,111434,69408,81155,47215,147644,239109,52873,141698,182107,79770
2019-02-10,39936,10471,9255,9315,9712,6422,35954,20311,8166,42703,20810,173890,53505,39805,2080,5041,65894,39218,45223,29238,80028,136847,36166,83217,103897,48314
2019-02-11,272606,42612,55750,55274,71170,24838,256683,159622,55917,368967,199409,1459216,400248,267551,9055,27337,558282,333386,372037,174635,702716,989147,131718,513273,799158,225876
2019-02-12,273329,42022,56834,56134,72818,24982,256878,165074,55626,377587,203635,1511377,408151,274810,9061,28492,572111,344402,378799,176418,717947,1018605,134760,519618,819421,229223
2019-02-13,266273,42577,56178,55158,71047,24669,251471,157894,54737,362928,198998,1472814,400495,262525,9488,28051,531181,335628,368086,174081,698055,985834,133185,514956,779849,221337
2019-02-14,271580,43788,56120,55143,71790,25855,251852,161932,55759,365807,198522,1478266,400190,270511,9455,28768,567415,337746,370804,175349,699706,998071,135250,515223,796505,226154
2019-02-15,256089,46722,54289,51664,67144,26574,236655,149719,53179,327961,179201,1318295,370786,249747,9432,27435,519564,297246,336866,169673,634364,904335,138873,496086,743755,225183
2019-02-16,73650,16391,16607,16386,18940,9587,67692,40882,15275,75945,38322,308059,103270,69796,3808,8962,108851,70051,85299,50079,153992,245268,54705,149036,188563,79711
2019-02-17,43648,11550,10705,10553,10800,7826,38270,23467,8878,47864,24805,182511,60333,43807,2636,6083,65197,42607,52012,33693,89884,153460,39791,89359,114127,51903
