,Thurgau,Basel-Landschaft,Zug,Jura,Nidwalden,Glarus,Ticino,Waadt,Schaffhausen,Wallis,Appenzell-Ausserrhoden,Neuchatel,Solothurn,Aargau,Schwyz,Freiburg,Luzern,Uri,Zurich,Geneva,Basel-Stadt,Obwalden,Appenzell-Innerrhoden,Bern,Graubunden,Sankt-Gallen
2019-12-30,106152,130686,70934,18108,24794,21466,125294,277409,28403,119031,24635,54292,136085,261000,74031,113921,163952,12643,581586,167509,113818,12209,5012,415793,102313,220224
2019-12-31,84326,98945,49926,15609,19137,17049,99207,232690,23042,98444,20467,45923,105491,202060,57521,92689,126236,10385,444464,95355,85626,9760,4094,321056,80630,171764
2020-01-01,29539,34681,17267,7514,9478,9033,38780,82686,9258,47813,9521,17548,36441,63877,26129,33863,49092,5937,146874,49978,31154,5006,2418,127462,45485,67086
2020-01-02,55828,129135,34781,9319,15866,15956,116379,123945,14497,91580,19841,32442,72533,125298,56814,59058,82149,11100,245369,155890,117066,7884,4412,159269,77930,166860
2020-01-03,109981,157508,80910,18983,25772,21509,127327,273932,28285,112240,25681,54959,141980,273281,77908,110001,177971,13304,596279,212819,139805,12547,4824,405066,94942,235454
2020-01-04,55844,61846,33118,12787,13286,12806,60624,153934,16033,67669,13291,32918,66664,125109,40073,61144,84676,8038,270730,92406,56140,6934,2782,209544,56675,115805
2020-01-05,36795,40426,22765,8738,9975,10421,41439,101012,10875,45621,9736,21499,43603,79047,30769,40934,53794,6950,182586,64870,35855,5062,2479,137581,42400,78052
2020-01-06,186924,252883,147404,38578,38371,27579,48096,531686,52253,145621,40493,117341,249530,497464,87367,188127,275618,10417,1128069,409119,235369,18751,6452,684909,108896,358747
2020-01-07,194939,268651,158668,40640,40230,28918,212434,556740,55527,147764,41745,125496,261081,523277,128185,195910,293415,17393,1195507,435805,256540,19272,6505,717054,109080,388663
2020-01-08,194070,270466,158225,41070,40203,29006,213968,546598,55048,146735,41911,122580,260752,522562,128727,194446,294038,16960,1191385,418896,253459,18825,6764,714226,110656,388274
2020-01-09,198983,277193,161358,42731,40897,30567,219502,571704,57018,151923,42388,128415,268953,538156,131909,200273,298479,17618,1228124,452128,264123,18881,6779,733921,114572,399397
2020-01-10,191043,258236,150641,41697,40170,35560,214467,546167,55109,156250,40503,122164,252565,504326,132597,193338,287302,19128,1142158,427821,241282,18823,6630,692363,122027,389029
2020-01-11,62773,70334,37172,14720,14337,13727,69278,175577,17565,69845,14428,38028,74414,143143,45242,67666,93599,8152,313160,105345,63630,7348,2979,225858,56664,128090
2020-01-12,38435,44250,24297,9420,10934,13196,43353,116056,10610,50576,10598,23282,47979,87400,35084,44752,59687,7340,194299,70004,38605,5802,2576,148249,47278,86708
2020-01-13,208845,284479,168110,44475,42253,32108,218527,606076,58811,156514,43517,134503,282862,558103,135323,212273,306770,17894,1280743,477378,268241,19557,6784,769333,116602,409648
2020-01-14,212195,292793,171789,45601,42496,30864,221991,620041,59316,158889,44589,138402,288480,571141,136158,217798,316013,17377,1322656,491738,278450,20127,7106,791888,116118,414779
2020-01-15,207845,286979,166911,45418,42645,30841,216331,596389,58532,156862,44266,134657,284152,557368,134551,211442,312883,18079,1281121,458964,270249,20343,7398,774385,117476,409826
2020-01-16,202393,280864,163857,44030,41544,32328,212074,591077,58444,154228,42640,133718,279817,545164,131967,209425,304515,17704,1261579,465688,266819,19929,6915,766536,116455,401564
2020-01-17,201012,272357,158022,45057,42477,37570,216036,579445,57125,163918,42271,130428,270693,526459,136603,206938,299256,19509,1203799,451067,257505,20561,7046,734696,130059,405254
2020-01-18,67836,74969,38741,16386,15111,13705,72590,187549,19011,74263,15596,39212,80478,152777,46983,74355,101337,8343,328934,113598,68512,7841,3259,243746,58496,136252
2020-01-19,37562,45336,24295,9669,10570,12823,41746,117939,10620,51931,9898,23057,49521,88542,34062,46652,59253,7042,192190,69879,39497,5511,2321,151127,46381,83737
2020-01-20,212173,293817,173947,45978,43159,34107,223101,624729,59980,162082,44675,136297,290353,574115,141814,219086,316598,18649,1320103,485835,273650,20109,7343,793992,123581,421679
2020-01-21,211247,300268,177048,47171,44462,33326,225303,629560,60081,164349,45079,141050,298366,580599,139161,222466,319627,18436,1342911,495134,281717,20776,7363,808949,122573,421852
2020-01-22,209531,292314,171143,45701,43496,32807,221757,609383,59163,160026,44295,137318,292754,568160,139122,216968,315562,18559,1305954,465022,270709,20584,7250,792368,121410,416082
2020-01-23,210674,293038,171268,45558,43655,34630,223416,615693,60400,163179,44387,138014,293758,571513,141603,218880,317137,18869,1315787,482320,277559,20433,7402,797138,123653,419639
2020-01-24,202962,274328,163553,45293,43901,40151,219398,589572,58560,169604,43283,132457,277878,538983,143246,215139,306094,20576,1231632,455534,252352,21112,7321,757398,134277,415404
2020-01-25,64934,74073,41015,15888,16079,16144,72115,183057,18248,76201,15309,41338,82196,152653,49624,75364,100213,9233,334133,110548,64887,8646,3553,250237,66325,140469
2020-01-26,36355,45320,25244,9858,11843,14763,44889,109884,10977,51502,10209,22833,51722,89176,36965,47107,61502,7925,202491,69203,38102,6154,2560,158167,51637,87647
2020-01-27,214222,336065,200844,50937,51551,36883,248017,692844,61827,184214,44916,149634,335953,633884,161013,254586,363268,22168,1495710,520371,307411,24413,8015,912022,140114,445135
2020-01-28,204728,322685,193755,49949,47970,32610,238655,658503,60075,174255,42753,147217,322399,607684,153603,239490,349485,19922,1461747,499328,299874,22975,7188,881757,127051,421904
2020-01-29,208358,324185,195867,50838,49161,32719,246304,652246,61380,171041,43338,148777,326767,617567,155366,243147,357888,20520,1473855,497155,300336,23067,7350,878661,129001,429569
2020-01-30,191356,302459,179607,46895,46235,31515,226658,615558,58086,162744,41053,139899,295746,566174,143551,222695,328257,19078,1371320,481777,285941,21166,7180,814340,121102,399531
