,Schwyz,Geneve,Solothurn,Basel-Landschaft,Freiburg,Appenzell-Innerrhoden,Luzern,Zug,Aargau,Schaffhausen,Zurich,Jura,Neuchatel,Obwalden,Glarus,Uri,Appenzell-Auserrhoden,Thurgau,Nidwalden,Ticino,Basel-Stadt,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2018-12-31,128009,76845,204738,135845,118559,1166,180933,100648,322173,5517,383597,5642,46320,7287,64738,36007,8800,100305,51922,86801,78528,322606,86083,311561,387945,119749
2019-01-01,152773,74245,200845,131367,107559,1628,173405,99469,302471,7881,363736,4832,32986,10503,93620,56384,9365,94916,63901,86679,78645,295591,116820,361159,339855,115053
2019-01-02,170573,104545,253310,194197,148789,1441,212883,120624,389618,8983,437821,6150,48347,9026,96877,57425,9350,123843,68276,133777,115733,346108,127095,421566,427623,160774
2019-01-03,167526,102314,280142,198013,156092,1421,246883,136917,430163,7589,482826,6325,54599,11633,83472,57408,10512,134973,78047,121971,110480,433265,107615,416427,488512,147616
2019-01-04,177345,111825,293957,208399,166857,1366,255549,142366,451366,7629,513501,6940,56378,11168,88861,56984,10369,141388,77232,126110,115342,451714,120058,438575,513476,160193
2019-01-05,144849,113829,253525,179618,155559,1080,200068,112567,373010,7546,427082,6558,52467,8718,78359,51247,8305,113406,65354,125555,105313,386541,99164,349559,485613,158280
2019-01-06,122795,94460,200712,134340,114690,1134,157636,95094,304832,7277,365902,5028,36942,7523,66661,46926,7619,95850,52125,99971,79816,288963,82934,281376,370578,117469
2019-01-07,143419,101932,260163,193004,140649,1042,240480,146273,434410,5634,496515,5997,55987,8573,54888,37589,9190,131863,61434,114882,106914,402785,73351,348952,456870,117720
2019-01-08,141583,101625,269420,199696,143236,1102,246673,149463,453724,5791,519041,5725,58028,8930,49812,34018,9959,136385,60653,115223,111240,418551,66226,347367,466906,114706
2019-01-09,140923,100292,272323,200919,139195,983,248500,150426,462095,5942,523729,5651,59204,8595,49788,33680,9553,136478,60100,114793,110352,414254,61858,342442,457367,109513
2019-01-10,145909,110063,281099,208901,149419,937,251912,153426,468328,5973,521649,5959,63090,9062,55885,34805,8827,129856,62174,120486,114887,431204,71644,344113,500987,122561
2019-01-11,185964,120925,310180,226679,171613,1459,276425,167112,511804,7455,587609,7847,68102,10924,84911,44044,11394,151813,73063,130841,123965,484628,109525,445178,567734,156080
2019-01-12,164061,105470,277658,190091,159646,1488,230274,135927,439010,7190,507742,6638,57715,10622,77656,38789,11250,135142,65240,101962,103518,438880,94021,383133,498564,141109
2019-01-13,131018,83984,208208,137421,112199,1261,162951,102675,332270,6356,399257,4680,36603,8045,71200,33111,8740,103740,44587,88600,75679,308055,83142,301330,352512,101973
2019-01-14,147953,111312,283370,202746,152516,1017,255187,155156,469374,5827,529614,6182,61134,9465,53780,32931,9869,138284,61998,117924,112566,442597,66982,353683,493473,120217
2019-01-15,155802,113633,297717,211998,159825,1137,268931,164515,498211,5971,560566,6569,65175,9928,58355,36089,10352,146541,70766,121090,117212,461432,74437,381442,524879,124243
2019-01-16,171640,115152,308525,215436,163473,1224,278088,168438,507550,6622,578985,6757,66659,11402,68600,41302,12056,153583,72234,123526,117785,473921,84219,414995,534098,127346
2019-01-17,165379,121743,308466,218183,161899,1140,270433,166215,506152,6598,579063,6548,67203,10867,67296,36414,10931,152585,67838,124558,119871,470308,82637,407981,533937,128106
2019-01-18,196423,128459,320181,226961,178667,1437,280842,172252,519686,7612,610291,7806,69995,12539,95108,44518,12126,160889,74704,135411,125891,498579,121366,483530,592279,163204
2019-01-19,191629,109920,292304,194040,171400,1756,247515,150786,465584,7327,546961,6076,58496,12678,100635,38589,11625,148702,70138,98271,105939,457356,114162,456399,515963,140040
2019-01-20,165736,91981,226409,145440,130369,1622,185833,118789,364440,7544,445235,6198,41948,11700,100715,39054,10300,118031,56830,87772,81455,343597,120285,400102,420636,127411
2019-01-21,166657,110595,289735,210371,157995,1138,259733,160170,480798,6213,559892,6232,63157,10124,69850,36299,10375,146280,64972,120147,115379,449814,90752,406471,513131,125058
2019-01-22,163154,110097,296291,202986,156747,1266,259961,160578,488206,6220,570425,6025,61793,10149,66893,37249,10905,146081,64891,118837,110292,452054,82467,393804,513055,119960
2019-01-23,139583,92981,249454,173888,130942,1179,215039,133819,416456,5689,498133,4711,50307,8479,59477,32344,10215,127875,52254,98504,98661,376569,70141,334283,421592,99261
2019-01-24,147240,104502,262979,181441,140494,1226,222722,139524,435129,5727,515585,5039,53475,8679,65818,33071,10098,132944,53895,103307,102872,397825,76849,356499,458168,106335
2019-01-25,196450,125585,315174,221842,179034,1625,270238,164577,508571,7806,606009,7727,65121,11756,97917,45079,12129,161761,71504,126956,124203,490850,125865,484506,579250,157907
2019-01-26,180974,117393,302851,200673,185200,1616,240550,144819,465853,9147,551668,6455,57961,12558,98950,43598,12261,159550,69242,111358,113647,468086,119203,465716,541151,153741
2019-01-27,160456,95680,230420,148838,130586,1398,180459,116507,361179,8174,448610,6145,41538,9452,99952,39447,9850,118272,52638,83232,85902,342581,115670,393034,405614,120343
2019-01-28,156171,110184,280713,206875,148540,1091,254839,155458,466101,6235,535722,6181,60731,9405,62137,35959,9884,136072,63909,121738,115729,433043,81276,376526,491919,120730
2019-01-29,160731,112602,300694,214955,152260,1232,270967,163651,494476,6453,559778,6260,64393,10254,62412,37283,10896,141808,67564,125588,118023,462333,81018,386855,490649,120387
2019-01-30,162443,109892,301280,217977,157894,1170,272559,165093,498061,6641,571188,6938,63676,10810,62617,37520,10352,145604,68717,122840,120554,461983,81513,395016,506522,123678
2019-01-31,171364,117974,302388,222326,163438,1380,271235,166527,502234,6463,580889,7079,66089,10399,71615,39716,11224,148910,68371,130545,124315,462198,91546,421154,532755,130370
2019-02-01,196972,121899,324000,232553,164476,1386,287795,175704,530291,8093,619073,7993,66739,12047,94591,43082,11980,161650,75007,102769,130905,499704,122519,487927,539373,154172
2019-02-02,196509,116556,308351,198427,174189,1618,241527,145510,476763,9723,568153,6817,58089,11732,110511,39341,11472,161959,68976,88044,114637,471418,129935,496397,526536,158873
2019-02-03,144886,95617,213647,138870,114872,1251,161829,101837,335096,7418,417223,5709,41915,7855,85403,34517,8224,106937,47617,82427,81596,309966,104824,341530,396810,121313
2019-02-04,163227,113597,285153,208196,156278,1244,257903,156231,469223,6298,540175,6793,63708,10131,69096,38234,10399,143193,67514,124190,116442,438291,87906,398147,519540,133621
2019-02-05,169918,112784,297320,214766,161741,1287,270999,162950,492905,6400,566041,6606,65178,11443,70224,40137,11316,150511,72760,125218,119496,453152,86718,411074,533779,134617
2019-02-06,181685,115616,309457,223993,168823,1541,288271,171635,513140,7186,586836,7121,66975,11576,75353,51113,12059,158895,78913,133920,122505,470010,93727,438845,554799,140780
2019-02-07,175753,124200,312504,225813,169304,1295,282685,170389,515347,7517,592789,7104,68961,10854,73253,41175,11481,158036,71497,134480,124943,470816,92572,426424,561166,140817
2019-02-08,215607,134410,332469,239562,194490,1466,300298,179982,540994,8122,637040,8803,72149,12550,109547,51492,12099,166923,78882,140247,135724,520021,136139,521874,629831,181345
2019-02-09,216407,115895,313268,218613,182167,1927,254310,152306,487964,9555,593370,7425,59093,13244,128323,48963,12578,165708,75949,115560,123973,464080,152954,533455,549494,170804
2019-02-10,166349,98086,234133,158643,137677,1621,187161,115228,368315,7715,450894,6165,45273,10635,102434,40354,10551,123249,55307,86626,94482,348295,126919,404606,433744,139970
2019-02-11,157700,113638,285825,211983,154993,1123,258009,153764,471463,6161,532846,6806,62578,9557,63083,38011,10792,144214,65521,125227,120192,434972,80456,384731,509284,127369
