,Luzern,Schaffhausen,Aargau,Zug,Zurich,Jura,Neuchatel,Schwyz,Geneve,Wallis,Solothurn,Basel-Landschaft,Appenzell-Innerrhoden,Freiburg,Appenzell-Auserrhoden,Thurgau,Waadt,Nidwalden,Ticino,Basel-Stadt,Obwalden,Glarus,Uri,Bern,Graubunden,Sankt-Gallen
2019-12-30,241090,9524,413809,132398,478017,6327,52608,181705,94104,131853,251153,196797,1553,153210,10575,137368,368953,79409,125378,115445,12567,100523,62113,409609,157066,421778
2019-12-31,184067,5828,319249,104712,383200,5591,46333,135748,71881,105458,187848,137053,1411,118801,10053,103699,301995,53355,91994,80971,8175,69856,40404,310260,107806,304294
2020-01-01,155742,6798,277335,90543,326779,4467,32676,130995,66954,93298,171742,123658,1508,102006,8622,87019,243400,53004,81144,74991,8764,74960,46416,270355,109529,271491
2020-01-02,228927,10446,394401,130295,450727,6334,47530,197674,96448,137462,244840,198444,2066,149204,11592,132273,323013,84015,139270,117779,14360,122932,68404,355385,171943,450761
2020-01-03,244867,9170,419901,135870,483386,6538,55023,175704,104528,136479,258459,203571,1353,162494,9858,142638,390929,76510,133735,118766,11361,100663,60655,417790,149608,425952
2020-01-04,211622,9351,387462,118669,457790,6284,52123,160971,114234,135191,252205,195447,1148,163434,9634,132964,381186,68065,128988,118620,9427,88051,56661,388511,142451,380544
2020-01-05,182081,8826,326498,107285,390838,4953,38112,149704,94509,101676,201139,147474,1327,123666,9316,108149,288530,65739,114173,91411,10408,84541,58961,303461,125640,321409
2020-01-06,221568,6066,391702,133326,460595,5211,54084,129718,93213,98862,214578,180490,961,133088,9143,126105,351590,58549,79600,102506,8521,57970,39877,366984,96998,338148
2020-01-07,231729,5717,417702,142321,482211,5772,59005,138406,93363,101329,227609,190123,917,140346,9806,133509,370959,56738,112309,107009,9154,50350,32799,385367,84649,344882
2020-01-08,244782,5707,442791,148321,511324,5727,61910,148391,99849,107576,244361,201154,1033,148073,10526,140304,393174,59880,119805,111793,9223,56324,35179,409216,91811,367332
2020-01-09,256923,6898,465761,157841,537763,6187,63664,157119,106881,111375,258453,213844,990,154893,10621,149902,412359,63983,124524,119025,9838,62400,37641,427713,98019,388070
2020-01-10,265884,7722,482564,160482,566393,7095,66553,180945,114771,136434,273955,227285,1136,167454,11063,157284,439053,68183,132414,125664,10431,83163,43735,455088,135504,436480
