date,canton_name,total_trips,dataset,train_trips,road_trips,highway_trips,commuter_trips,non_commuter_trips
2018-12-31,Solothurn,774849,2019,109725,460394,204738,102078,672780
2018-12-31,Basel-Landschaft,660220,2019,52643,471743,135845,92359,567872
2018-12-31,Schwyz,470029,2019,55057,286973,128009,53514,416525
2018-12-31,Aargau,1399539,2019,143628,933747,322173,189278,1210270
2018-12-31,Ticino,684145,2019,23782,573573,86801,85959,598197
2018-12-31,Schaffhausen,163510,2019,17556,140450,5517,20800,142723
2018-12-31,Uri,111610,2019,13148,62467,36007,10052,101571
2018-12-31,Freiburg,649751,2019,46223,484980,118559,80026,569736
2018-12-31,Luzern,897409,2019,62669,653820,180933,118174,779248
2018-12-31,Geneve,824488,2019,40450,707203,76845,94838,729660
2018-12-31,Zug,337353,2019,40761,195955,100648,46881,290484
2018-12-31,Jura,119298,2019,8407,105258,5642,14617,104691
2018-12-31,Obwalden,79468,2019,6796,65395,7287,8849,70631
2018-12-31,Thurgau,577675,2019,53517,423865,100305,74621,503066
2018-12-31,Glarus,152905,2019,24755,63424,64738,15581,137336
2018-12-31,Basel-Stadt,535428,2019,46207,410705,78528,80410,455031
2018-12-31,Appenzell-Ausserrhoden,154370,2019,12817,132764,8800,17351,137030
2018-12-31,Nidwalden,164057,2019,10359,101786,51922,17852,146215
2018-12-31,Zurich,2759833,2019,339215,2037030,383597,412634,2347209
2018-12-31,Appenzell-Innerrhoden,33915,2019,2281,30481,1166,3679,30249
2018-12-31,Neuchatel,321713,2019,22637,252764,46320,40143,281578
2018-12-31,Bern,2328929,2019,243952,1762391,322606,296587,2032362
2018-12-31,Graubunden,792127,2019,62292,643775,86083,69347,722804
2018-12-31,Sankt-Gallen,1315594,2019,124981,879072,311561,156506,1159108
2018-12-31,Waadt,1771197,2019,160258,1223017,387945,217453,1553767
2018-12-31,Wallis,1091941,2019,110924,861290,119749,99310,992654
2019-01-01,Solothurn,603998,2019,97589,305576,200845,38174,565836
2019-01-01,Basel-Landschaft,487379,2019,47300,308725,131367,35350,452042
2019-01-01,Schwyz,473844,2019,55212,265870,152773,26057,447799
2019-01-01,Aargau,1009865,2019,120007,587398,302471,65621,944255
2019-01-01,Ticino,511990,2019,19080,406241,86679,37099,474901
2019-01-01,Schaffhausen,119706,2019,13388,98448,7881,8932,110785
2019-01-01,Uri,143551,2019,15407,71771,56384,7259,136304
2019-01-01,Freiburg,476118,2019,34265,334304,107559,32254,443874
2019-01-01,Luzern,733418,2019,54219,505801,173405,49448,683978
2019-01-01,Geneve,614419,2019,35459,504727,74245,49481,564950
2019-01-01,Zug,275749,2019,35669,140624,99469,17288,258475
2019-01-01,Jura,84633,2019,6745,73066,4832,6498,78145
2019-01-01,Obwalden,90678,2019,6610,73576,10503,4796,85892
2019-01-01,Thurgau,420736,2019,41121,284709,94916,28468,392279
2019-01-01,Glarus,199597,2019,28442,77544,93620,9517,190089
2019-01-01,Basel-Stadt,389745,2019,42197,268914,78645,32038,357718
2019-01-01,Appenzell-Ausserrhoden,128996,2019,10232,109409,9365,8501,120505
2019-01-01,Nidwalden,178545,2019,10505,104149,63901,9465,169090
2019-01-01,Zurich,1992528,2019,260968,1367832,363736,145236,1847302
2019-01-01,Appenzell-Innerrhoden,39735,2019,2613,35505,1628,2222,37525
2019-01-01,Neuchatel,209441,2019,17427,159040,32986,16520,192933
2019-01-01,Bern,1832170,2019,222594,1314007,295591,122730,1709464
2019-01-01,Graubunden,891484,2019,66650,708036,116820,41896,849611
2019-01-01,Sankt-Gallen,1200610,2019,116805,722664,361159,71832,1128797
2019-01-01,Waadt,1261888,2019,118626,803431,339855,88456,1173457
2019-01-01,Wallis,878045,2019,101770,661243,115053,51378,826689
2019-01-02,Solothurn,751347,2019,122957,375089,253310,78799,672558
2019-01-02,Basel-Landschaft,767137,2019,66153,506798,194197,152408,614740
2019-01-02,Schwyz,515230,2019,64535,280130,170573,58742,456496
2019-01-02,Aargau,1278172,2019,148576,739989,389618,136263,1141920
2019-01-02,Ticino,703675,2019,28179,541729,133777,120119,583566
2019-01-02,Schaffhausen,146086,2019,14768,122346,8983,13958,132139
2019-01-02,Uri,130326,2019,16777,56134,57425,12043,118294
