,Luzern,Ticino,Thurgau,Basel-Landschaft,Freiburg,Schwyz,Aargau,Basel-Stadt,Glarus,Obwalden,Geneve,Appenzell-Innerrhoden,Zug,Uri,Appenzell-Ausserrhoden,Zurich,Solothurn,Neuchatel,Jura,Nidwalden,Schaffhausen,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2018-12-31,779248,598197,503066,567872,569736,416525,1210270,455031,137336,70631,729660,30249,290484,101571,137030,2347209,672780,281578,104691,146215,142723,2032362,722804,1159108,1553767,992654
2019-01-01,683978,474901,392279,452042,443874,447799,944255,357718,190089,85892,564950,37525,258475,136304,120505,1847302,565836,192933,78145,169090,110785,1709464,849611,1128797,1173457,826689
2019-01-02,717946,583566,444844,614740,549707,456496,1141920,477330,173318,65032,744361,25674,304100,118294,110009,2067608,672558,250521,82249,148646,132139,1675035,644672,1220181,1269481,908249
2019-01-03,832176,569530,544665,645022,600103,472327,1338049,493040,170348,88354,786255,31795,332585,128123,128965,2433140,774908,291902,110576,177103,148292,2189810,708388,1293206,1579249,924768
2019-01-04,887354,597868,576592,698943,640173,499339,1433953,534294,176038,86953,838163,31357,356467,126311,133329,2656968,825806,308396,116423,177231,158755,2256982,677413,1369612,1661608,915563
2019-01-05,797062,604976,522709,660308,604348,434563,1366123,504393,154628,66515,862773,25415,336276,112940,114786,2527301,779170,296341,107124,149958,144911,2043250,529495,1211060,1646696,788168
2019-01-06,602355,472858,385973,487128,468547,376181,989784,363346,130107,53823,663009,23514,265637,97723,94639,1921326,594213,212119,80397,119619,110311,1532727,380015,929062,1221688,572046
2019-01-07,801948,575281,558863,697633,599528,403982,1418473,556995,113255,63220,970454,24241,364892,86768,119746,2831525,786333,313720,112510,128212,157056,2053276,383585,1168739,1654806,611652
2019-01-08,821751,580472,574337,725406,605543,396159,1468930,580513,106195,61507,968264,25151,369287,77867,125622,2930591,815667,321236,115186,123733,161135,2086454,355289,1171120,1661132,559069
2019-01-09,850157,589613,589873,734412,609261,411879,1528631,585138,108017,62413,983842,26294,381672,77556,127700,3049103,833454,332665,115513,126646,164130,2115255,339367,1194191,1685584,544407
2019-01-10,856148,614529,568576,753954,640928,418292,1538241,609802,117201,65073,1030847,24422,387541,82675,117370,3056987,861944,348704,119252,130102,163642,2208789,389770,1180304,1762614,616745
2019-01-11,966225,664487,657994,822138,722441,522968,1704311,650366,166167,81225,1109777,32926,439705,104065,147482,3391009,933590,379812,134946,161500,183650,2482160,532682,1457368,1967201,737445
2019-01-12,956435,607852,627633,745251,703067,547294,1641889,570705,167873,89441,982498,39290,405657,108924,159420,3120349,877298,360842,127689,176066,169892,2456559,573938,1420265,1867108,825730
2019-01-13,611632,445963,399707,484301,461384,372840,1030121,365880,134120,53213,677870,21217,271753,75462,90920,2001831,581141,215325,83397,107633,106809,1499598,362146,932107,1183138,447992
2019-01-14,827339,587285,572418,719665,629188,406459,1472184,578133,108578,63066,1034222,23373,373465,74671,119407,2934480,830923,328444,115540,126041,159491,2132576,329804,1163161,1718041,543932
2019-01-15,891189,600448,606198,756421,664202,445841,1587771,606710,119171,70533,1080585,28949,399716,80342,133327,3098215,892275,347457,123766,144910,163594,2308433,398316,1260511,1846087,637628
2019-01-16,950396,611439,634509,776674,694366,509989,1629810,616025,143062,84729,1099546,34127,420928,105372,148156,3214210,917964,363744,129718,165693,169910,2413148,487361,1378024,1904615,677277
2019-01-17,887739,601876,612766,763144,659720,447598,1589225,611386,133839,70606,1088746,27648,402701,84795,132364,3117328,900969,348741,121369,139873,166769,2290275,443319,1289955,1817286,622180
2019-01-18,963074,650485,656524,807098,742548,528386,1683632,675414,175564,85501,1112752,33580,443962,103848,146233,3299716,945673,379439,133682,163870,180958,2524190,571561,1475542,2005039,754500
2019-01-19,1025380,566846,655681,766330,785078,630417,1696078,594173,211976,109433,1000198,45795,436249,119273,160747,3204094,927622,368646,131570,203592,171650,2649183,727898,1588734,1962520,899841
2019-01-20,724443,456796,465720,518133,562690,496882,1161025,385967,193772,82663,704109,37444,327315,105744,124500,2244793,663223,245569,100321,153316,124081,1823419,629340,1232443,1404725,668193
2019-01-21,838427,590421,584655,718483,654563,450389,1489870,563977,137889,68895,1010125,26919,382027,85402,125776,2991211,835981,336973,120103,135408,162732,2214466,503224,1256104,1787334,647305
2019-01-22,798899,544721,548993,673263,604073,436757,1404642,517631,133013,72323,909992,29550,366660,89575,126179,2755010,798897,309887,117205,139055,145142,2067311,497453,1193355,1656125,600741
2019-01-23,632639,406646,454705,522288,469615,348728,1141644,401982,108645,51867,671630,23369,297252,69969,107843,2226770,628823,241033,89149,104137,122231,1565736,366735,959216,1257255,419576
2019-01-24,656219,443782,476671,545771,505777,359616,1200819,428912,117899,53712,756188,22584,307406,70483,107406,2342757,672916,259654,91481,106774,129370,1688704,391915,1012172,1368696,465337
2019-01-25,895343,597972,624811,732401,702330,507191,1558794,577518,176733,80432,997185,30366,400476,101865,138178,3091310,883270,343747,127728,154712,169190,2322542,565756,1403808,1850843,727319
2019-01-26,951949,606138,607784,728221,767485,546065,1601647,580373,193143,91543,987828,30840,412162,115943,129939,3080414,904528,348291,129805,179585,166905,2454871,675708,1445976,1934930,919479
2019-01-27,683121,395751,415675,517581,519651,457634,1100825,393108,185311,66442,687932,28761,309923,98255,100056,2215837,643981,227724,101522,134271,115365,1681437,591103,1120966,1291793,581530
2019-01-28,767905,575188,488099,658759,578092,392994,1297690,526310,115639,62083,944893,21996,336654,79266,104908,2659781,758328,303716,111234,123774,139356,1966533,450903,1087681,1606516,614489
2019-01-29,836150,606577,520914,706034,633666,444300,1416712,557292,124625,69443,994067,29388,370888,90321,119286,2877688,829378,334359,120174,138605,147777,2154007,508374,1186909,1781908,686375
2019-01-30,848722,590959,528253,717319,630883,434990,1423833,565385,122036,68556,1013733,26609,372753,90302,114784,2908676,830793,327168,123718,137873,146029,2135484,488054,1178763,1733535,639169
2019-01-31,859825,622080,534077,726136,649523,456838,1452373,574052,140266,71413,1028956,29412,377006,93094,118848,2935004,854570,339695,126362,143446,146488,2210167,541065,1235276,1770223,688587
2019-02-01,918015,515015,583289,755369,666816,509596,1533230,589482,171226,79250,1022766,28883,404584,101801,126772,3125482,885009,343932,130413,156345,157426,2303566,547881,1389085,1812657,736801
2019-02-02,981398,543411,635767,760302,742785,602178,1608728,598092,209318,96598,1000720,37208,403397,110809,140976,3181616,911453,370682,135660,189952,159248,2499912,695406,1554263,1966752,949922
2019-02-03,628882,425603,407961,494548,496499,413602,1028018,376563,157011,56769,715806,22737,276192,81914,88332,2094404,609830,237111,95706,117174,109024,1605311,465421,1018351,1334102,607342
2019-02-04,772819,585393,538303,655884,597070,432020,1268042,512073,130955,70633,940930,28930,323824,92067,121194,2584312,723451,314558,114068,139730,137924,2010224,525547,1190708,1663218,741466
2019-02-05,826176,601532,563515,683536,629928,463576,1333804,534205,136872,80420,973904,32717,338955,99770,131728,2681412,762299,330936,121885,155992,140926,2131006,551214,1241658,1728882,760232
2019-02-06,874357,634325,591211,726775,659958,508938,1383948,561423,150268,85336,1006268,37151,358144,129733,145297,2794421,798896,346683,132893,169021,146075,2225483,596664,1330882,1813240,804082
2019-02-07,829122,623593,577534,700007,628351,446860,1376186,550936,136021,70277,1011880,27550,345077,92090,126518,2766088,788796,331107,122246,140072,147666,2084696,527006,1239064,1740738,724033
2019-02-08,938417,667971,647678,760654,714207,551552,1506030,604727,194834,87285,1082425,32727,386400,118570,144837,3040330,850264,360308,135578,169950,163561,2367610,687289,1497180,1966985,898738
2019-02-09,993372,649593,677651,804607,729439,627291,1610867,626069,243115,103867,1011935,36727,401771,138216,146698,3032502,891387,356282,135558,200752,167652,2482529,893607,1631189,1940689,1022187
2019-02-10,700822,418199,487282,525826,530160,474656,1111068,414153,192367,71343,711032,30184,294271,96727,117443,2117473,632893,230576,90668,141579,117471,1691579,609404,1219030,1355537,691314
2019-02-11,755248,590173,538872,655618,576784,395633,1308438,531646,115132,61664,944203,23278,304390,79794,114390,2423366,725213,302474,112651,124935,151299,1923792,442557,1119243,1603037,626439
2019-02-12,813892,611401,569256,694078,624776,429664,1414862,559130,124254,69216,1004695,24777,331523,90731,122690,2599673,791599,335342,120338,137906,161367,2130131,513768,1194853,1758711,725740
2019-02-13,897538,634813,604290,726818,664927,497281,1482697,582719,151307,82156,1027681,33013,357944,105602,140057,2719696,832106,355601,128498,161845,168594,2269797,607972,1340847,1862736,778067
2019-02-14,904401,656415,618460,740051,673656,512760,1514142,600163,160517,88507,1050246,35111,367629,111654,142517,2809893,856969,360981,132259,168114,171857,2329819,643529,1375095,1891292,804162
2019-02-15,968920,677472,660374,783717,729235,586707,1595751,629827,210286,98349,1079798,40174,402624,135948,153318,2904055,903467,375964,138914,191463,185835,2522335,785919,1570712,2036381,940920
2019-02-16,1101408,661328,723956,815377,816600,709102,1732676,651850,268509,123503,1016179,51551,437235,152927,174829,3069255,979814,397009,138411,237565,192564,2749136,981339,1818822,2185471,1168742
2019-02-17,916035,528491,572611,678541,675390,649456,1376978,501633,242224,112368,748138,55019,395855,146666,164119,2467559,818264,314816,115436,214994,155337,2284815,839413,1522728,1769787,957139
2019-02-18,825862,593259,574654,689266,623644,458419,1409543,546422,144436,77364,868291,29997,356290,98522,127356,2605101,801276,328230,108912,152843,161565,2127652,596323,1267360,1747644,810133
2019-02-19,865016,614247,595557,719787,648955,466223,1489319,578330,140670,76531,893828,31571,386011,98406,135726,2732344,848657,349091,115643,149344,167133,2215231,591957,1300307,1840977,826989
2019-02-20,898450,634040,615033,741587,680037,480324,1539476,591045,145234,79235,913271,31305,388713,101671,136809,2819905,874128,363824,116808,155289,173222,2279267,593686,1332538,1913060,845050
2019-02-21,899508,651107,630890,752989,682597,495087,1567767,606240,152784,79286,934456,31888,400127,107466,140762,2884145,902690,365384,119508,155606,176314,2324356,620380,1378698,1904599,857673
