,Waadt,Schaffhausen,Nidwalden,Jura,Solothurn,Wallis,Neuchatel,Uri,Zurich,Appenzell-Ausserrhoden,Geneve,Zug,Appenzell-Innerrhoden,Glarus,Aargau,Basel-Stadt,Obwalden,Thurgau,Basel-Landschaft,Ticino,Freiburg,Schwyz,Luzern,Bern,Graubunden,Sankt-Gallen
2019-12-30,1507884,166644,214862,114933,737018,1051379,295231,152028,2497501,153963,783614,332616,43302,211177,1347816,507704,111112,581207,652477,632698,624771,528746,877780,2314845,1099608,1375438
2019-12-31,1445478,147739,173061,107925,654521,896450,289800,111558,2417032,169099,713456,304938,40916,157549,1200520,443744,86925,528325,562194,598570,576142,461732,817684,2059785,842947,1204774
2020-01-01,1079204,113238,169865,89287,555659,765583,217469,116573,1834219,155073,564134,262655,47542,164796,912271,361260,85018,398414,466279,487437,461205,458671,695631,1784625,798794,1027863
2020-01-02,1211926,144979,229389,97543,700327,979617,276946,162116,2155873,185067,740302,345140,58531,245730,1161609,493043,111742,498413,639092,633473,596341,605541,840859,1990339,1026299,1450111
2020-01-03,1560936,161012,188203,120355,761894,899280,305664,133184,2565594,138067,824807,357378,33343,200877,1388004,525655,89940,597480,666641,608015,642763,498634,894550,2264383,840088,1359674
2020-01-04,1554408,157483,160891,111726,761409,830237,304282,121785,2536753,123193,879547,330366,25906,168812,1381575,524526,72888,562824,661402,605663,635367,454465,832671,2112129,679356,1234453
2020-01-05,1206775,138639,167103,91657,634346,603232,239762,132173,2225630,138791,699850,314257,39522,174109,1109591,391150,79102,482133,522979,494247,530502,480676,736793,1786931,610315,1139188
2020-01-06,1559714,161283,139299,113103,733377,584970,321406,90009,2846536,134356,963851,362342,27340,129083,1368022,560211,69761,568252,689344,415645,604371,383934,818159,2070079,508459,1207589
2020-01-07,1643329,167135,130524,120704,786409,583881,347172,81409,2967990,130761,1007773,374447,24151,111381,1460392,593135,67623,601536,714667,595710,638899,414667,849682,2162036,443442,1192064
2020-01-08,1719993,176430,141175,127858,824971,619471,358143,86442,3127422,142345,1046321,396079,27857,124632,1541530,617672,72049,627928,759931,621012,666076,443585,898750,2271261,475015,1271378
