,Appenzell-Ausserrhoden,Basel-Landschaft,Obwalden,Nidwalden,Freiburg,Appenzell-Innerrhoden,Zurich,Ticino,Geneve,Thurgau,Jura,Neuchatel,Aargau,Luzern,Schwyz,Zug,Glarus,Solothurn,Uri,Basel-Stadt,Schaffhausen,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2018-12-31,132764,471743,65395,101786,484980,30481,2037030,573573,707203,423865,105258,252764,933747,653820,286973,195955,63424,460394,62467,410705,140450,1762391,643775,879072,1223017,861290
2019-01-01,109409,308725,73576,104149,334304,35505,1367832,406241,504727,284709,73066,159040,587398,505801,265870,140624,77544,305576,71771,268914,98448,1314007,708036,722664,803431,661243
2019-01-02,108512,506798,56414,85197,416401,26027,1589529,541729,756934,326198,77257,213907,739989,530808,280130,177287,59899,375089,56134,437556,122346,1240290,511243,842547,837281,735926
2019-01-03,137908,580700,85434,121268,520847,34100,2335211,566174,891089,481968,117040,280957,1091774,737315,337485,253095,81337,546299,72909,499840,161843,1954924,627070,1032533,1267919,796375
2019-01-04,141765,617356,83828,122021,549711,33673,2505362,589742,934364,504456,122374,294426,1151408,779265,354041,269044,82274,573762,71829,531372,171215,1991063,585000,1082972,1321789,773029
2019-01-05,107674,485472,58739,88408,464999,24943,2043661,520900,802997,407667,104883,255067,965888,621268,270996,215322,59463,470559,57629,406623,137335,1610450,415302,845583,1170111,605437
2019-01-06,85406,344353,46126,68729,355895,22430,1459327,394507,592656,278496,75875,175649,629299,444666,224188,153331,46166,329552,43589,275973,100104,1172166,279583,608411,834733,426497
2019-01-07,135911,692414,67678,98775,590690,27956,2929985,638966,1235743,533678,135093,345779,1258841,771114,325077,313095,62716,614324,58436,628690,182259,2034614,361423,1049197,1551390,568627
2019-01-08,141103,714875,65791,94017,593145,28932,2994335,643696,1238788,544906,137449,351178,1282398,785630,320102,311609,60552,625833,53116,652391,186109,2051056,337867,1050002,1549302,524842
2019-01-09,141275,714063,66146,95940,592495,29765,3070644,647372,1232941,552431,136236,355581,1312626,802339,329033,317838,59787,626971,51912,650543,187051,2051850,319605,1060589,1556514,510465
2019-01-10,130503,722545,68755,97820,616153,28291,3053633,671579,1294255,531953,140666,370531,1307427,806142,327694,319425,62539,641420,55327,669532,186009,2131559,362652,1035310,1602857,568761
2019-01-11,157287,762056,82140,117223,672097,35768,3288800,711134,1352128,594716,154271,393313,1418281,882970,389963,349648,80266,678092,67061,686083,202835,2312990,460011,1196351,1719784,644931
2019-01-12,146255,561059,80117,114832,560824,38130,2518391,552542,940937,489124,126263,314410,1166466,749717,362198,257241,73513,546585,66489,474192,160714,1953081,469697,1017509,1374850,660325
2019-01-13,80804,338446,44764,64022,352220,20096,1495723,377946,620854,284156,79628,178096,641180,449050,215595,152770,44742,315217,36548,282720,97293,1118176,257267,589127,814502,326135
2019-01-14,136856,714292,68239,97835,615666,27245,3051071,659918,1322983,549123,138841,358852,1297175,794125,326287,316130,58467,636395,50173,653267,185491,2110737,310665,1047897,1606071,514020
2019-01-15,150422,743156,75583,109055,645010,32711,3178733,669009,1368607,573771,147217,375540,1378177,847636,357611,332538,65056,675341,51896,682296,189805,2259600,373805,1119607,1704226,597191
2019-01-16,163336,754871,87114,125348,666094,37698,3250868,675283,1361853,589094,151450,386796,1397520,889038,403157,345924,76947,682911,71488,685155,193449,2323555,451188,1194302,1732918,625453
2019-01-17,148554,738346,74660,105560,633955,31355,3155498,665831,1356401,570958,143806,371479,1358807,835774,348053,329602,69654,664978,57001,679828,191489,2207470,410719,1114805,1651613,571815
2019-01-18,158270,751215,86158,120061,691050,36917,3236411,697526,1349778,596789,154160,395573,1411205,883978,389724,354441,82433,686350,67233,714345,201200,2328111,493796,1202108,1743269,653881
2019-01-19,149848,575358,97092,135909,625293,44176,2559125,515576,952404,505405,130423,320290,1185329,792671,414279,270180,90919,561267,75917,492642,163331,2052731,603246,1108370,1443565,733355
2019-01-20,112140,361667,70415,97445,432704,35610,1689487,392111,638664,333835,94726,202204,733302,537779,300988,190599,71370,364623,59819,293946,112664,1368746,488393,782252,962346,501497
2019-01-21,143995,716258,74402,105176,642567,30936,3118445,666591,1309376,559792,145421,369638,1319999,809197,354028,323328,71553,645293,58842,644643,189741,2194572,462673,1095917,1673479,601853
2019-01-22,143328,667614,76820,106580,583977,33282,2877671,606190,1182284,517635,140279,339339,1221649,756051,343150,304248,70441,597997,60028,593098,172592,2032275,459234,1036061,1533365,557954
2019-01-23,117573,478836,53229,74432,424553,25832,2189082,429474,825965,403777,103071,250683,927479,562500,253353,226552,50733,430523,41808,429839,138948,1454757,323479,777977,1081887,368731
