,Glarus,Aargau,Zug,Schwyz,Luzern,Basel-Stadt,Schaffhausen,Solothurn,Uri,Nidwalden,Waadt,Zurich,Freiburg,Appenzell-Innerrhoden,Appenzell-Ausserrhoden,Wallis,Basel-Landschaft,Obwalden,Neuchatel,Ticino,Jura,Geneve,Thurgau,Bern,Graubunden,Sankt-Gallen
2019-12-30,95313,1007180,217639,349850,708525,438420,166027,479130,81506,143264,1264638,2187582,531986,42951,150836,919668,512670,99953,271910,606699,117210,804502,486568,1979065,943680,1029481
2019-12-31,75939,920082,202818,322704,675769,392151,148188,449609,66706,124426,1238386,2094729,502371,39833,160401,790022,463602,79478,265033,583584,109169,694612,451924,1783422,737535,943471
2020-01-01,71669,575359,150335,297183,516604,272180,103070,317462,59913,113099,821427,1380472,358991,45075,142084,633293,328915,73144,183022,426708,84962,511927,298911,1398731,667626,722604
2020-01-02,99329,731394,199535,388757,610759,424245,133384,391699,82268,145201,894854,1630589,461038,56345,174927,818398,496423,95281,238271,583969,91758,751732,368352,1499916,835388,1026212
2020-01-03,87960,1043264,245824,333933,732785,472068,161539,495180,69185,122019,1287310,2251816,536710,33933,137289,767539,539248,81572,278968,577353,122872,876624,498744,1917587,698325,1024162
2020-01-04,65213,952446,199571,275889,627695,400675,149137,445730,57973,93933,1193638,2013157,487801,25459,113805,659179,460296,62894,263210,513889,109950,812811,433676,1643768,520689,854269
2020-01-05,69631,720234,184804,298550,534910,285546,126576,361631,62539,99389,910821,1716100,407784,37528,125626,470538,361075,66552,202300,401817,88040,626918,364083,1375956,462206,784125
2020-01-06,71191,1197551,301836,276226,763492,602395,182637,570555,46638,104840,1530852,2884138,591477,30077,145330,550701,661722,71264,349870,368568,134882,1203437,545946,1992663,453273,1062389
2020-01-07,64074,1266523,310215,335826,796821,646632,191393,604793,54906,99780,1607650,3001426,622405,27257,142954,551351,686308,68934,375782,666373,143039,1270801,573975,2072381,404441,1067114
2020-01-08,69630,1309468,321359,350838,826839,660889,199715,619563,55367,106268,1647739,3111293,639345,30792,152134,575055,718912,72521,380586,684389,150500,1285736,589181,2140430,425828,1115102
2020-01-09,71199,1346009,326396,359894,838185,697743,206257,641865,56528,108213,1674253,3198266,648287,31289,155029,575257,741570,72719,393391,697928,155542,1354237,607638,2186529,435038,1147670
2020-01-10,78914,1372843,326251,371088,867413,685279,212843,650870,61551,110384,1715577,3223397,670637,32795,157199,607561,741490,74579,392138,710556,158936,1353734,625538,2241714,482782,1182889
2020-01-11,76549,1112678,245298,336446,719964,485781,169720,516788,64859,110701,1396006,2485640,555637,29513,127702,627170,550253,74964,312464,551246,123181,956254,511655,1879168,527081,983009
2020-01-12,78067,751731,197891,319490,581997,316965,121909,373684,61644,104403,1042331,1821565,434513,42697,138476,483049,388133,69611,218869,409858,96806,709555,373416,1442318,466743,832782
2020-01-13,67903,1286790,317640,348059,802345,679896,196760,615090,56313,102572,1653601,3096829,630969,31885,163361,546117,706890,68780,375691,683521,148960,1329691,584313,2105570,414114,1103969
2020-01-14,69558,1359759,331326,364073,844028,723882,203064,650614,55907,106711,1733239,3265133,660625,31883,157063,565215,751790,72184,399600,705803,158833,1398356,609001,2231993,425513,1146149
2020-01-15,73696,1391489,337772,381809,878490,729302,210665,665933,61023,113905,1760927,3305478,679775,35011,161558,592015,758887,76851,408507,705130,164620,1384563,622791,2274900,454268,1179100
2020-01-16,75228,1321181,326144,363073,838300,718075,208956,645105,57926,111320,1677441,3189312,659366,32853,154459,567094,734501,75652,392953,687282,155438,1361275,602576,2215479,453062,1137807
2020-01-17,83983,1384405,343963,387433,884857,769503,217931,666201,62692,120024,1740479,3291058,685508,34529,162641,622276,757528,82996,400333,737269,165053,1384020,632345,2290106,536885,1225639
2020-01-18,70548,1160055,246604,334341,762638,536619,179104,548094,56324,108748,1466066,2593643,617140,28035,129263,634397,574068,73549,321048,580197,133514,1030454,530154,1935092,495326,992228
2020-01-19,62288,745049,177485,265181,525384,316827,115051,361675,50688,88535,1010771,1709142,436987,26076,100972,488347,372966,60866,203446,391429,90794,675739,336567,1375158,424169,710540
2020-01-20,73981,1297899,319560,361381,813469,662360,199080,628973,55252,106969,1673414,3138852,653990,29867,147880,572160,720531,71300,374540,694255,151221,1325780,586533,2164239,499211,1118021
2020-01-21,75030,1344688,337773,372363,841143,689609,204404,656977,58009,112351,1737709,3246903,678769,31403,153889,588972,747081,76276,400831,713926,160076,1372867,599187,2264062,536331,1143882
2020-01-22,75873,1358183,333826,381866,861701,674517,206657,667007,61843,118552,1768178,3239746,698001,34027,158340,606544,741138,80289,409724,724640,163299,1368275,606248,2304522,544962,1157966
2020-01-23,79055,1345463,331386,381943,852981,696206,209057,661073,61050,118508,1706920,3229766,681293,34477,158851,609964,749787,79211,401770,727877,162186,1377467,608807,2265206,545711,1167443
2020-01-24,90189,1425357,349256,408588,903480,698325,219744,695275,67778,126855,1788048,3354083,742346,36783,167274,664146,768962,85123,414356,745185,169298,1386738,638794,2397502,579723,1252597
