,Solothurn,Basel-Landschaft,Schwyz,Aargau,Ticino,Schaffhausen,Uri,Freiburg,Luzern,Geneve,Zug,Jura,Obwalden,Thurgau,Glarus,Basel-Stadt,Appenzell-Ausserrhoden,Nidwalden,Zurich,Appenzell-Innerrhoden,Neuchatel,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2018-12-31,774849,660220,470029,1399539,684145,163510,111610,649751,897409,824488,337353,119298,79468,577675,152905,535428,154370,164057,2759833,33915.0,321713,2328929,792127,1315594,1771197,1091941
2019-01-01,603998,487379,473844,1009865,511990,119706,143551,476118,733418,614419,275749,84633,90678,420736,199597,389745,128996,178545,1992528,39735.0,209441,1832170,891484,1200610,1261888,878045
2019-01-02,751347,767137,515230,1278172,703675,146086,130326,608405,802763,909271,341609,90801,71786,499415,189052,612883,129382,163219,2319408,29581.0,283638,1832135,710815,1402479,1403685,1008221
2019-01-03,981779,857461,572357,1726939,712578,190296,144428,732582,1062724,1051452,446481,133093,104620,685685,195651,678060,162286,211437,3270685,37897.0,362433,2708818,801690,1606691,1953293,1055579
2019-01-04,1028520,906739,600320,1814656,741293,200339,142812,773985,1117323,1105026,469442,139433,102997,716355,202864,715828,166322,211479,3486727,37435.0,378874,2768526,772211,1684304,2037716,1047399
2019-01-05,851484,726420,474847,1498874,670444,160934,122146,665115,884441,958776,371532,119618,73702,576195,166435,563015,127567,163701,2809010,28096.0,329211,2258762,576605,1331071,1812775,859227
2019-01-06,638017,527917,403967,1065168,515363,119856,104701,506750,652599,726139,286758,87890,58295,417454,139211,398596,102951,128298,2093394,25355.0,231685,1662319,413311,1003266,1326789,618453
2019-01-07,1073333,980545,537358,1962984,782727,213471,107004,800933,1104742,1414170,533209,153188,83164,750866,144449,817206,160538,171233,4039595,31070.0,437321,2803158,484120,1566998,2263897,773246
2019-01-08,1102028,1011974,528799,2016496,787626,217409,97004,805331,1127121,1414946,536531,155886,81470,767442,135600,846470,167119,165434,4151830,32113.0,445579,2842052,451807,1566244,2269139,716834
2019-01-09,1112177,1014561,541276,2064090,791797,218857,95905,802353,1148821,1406976,545963,154890,81802,778506,136350,844865,167806,167155,4248669,33085.0,452342,2845906,431393,1579547,2269039,694545
2019-01-10,1150042,1039034,549302,2083289,822825,219400,101600,840824,1160677,1484040,554461,160260,85050,756133,147371,876211,156561,171656,4272760,31388.0,473810,2967763,487747,1566098,2373947,777072
2019-01-11,1214005,1096089,658690,2232889,875445,238437,125820,922705,1267115,1556563,601571,176922,101483,846112,201269,900749,187793,203860,4568189,40232.0,503406,3218906,641892,1855539,2577938,908425
2019-01-12,956803,816336,593557,1788917,676525,186754,118509,771685,1054553,1090614,444072,142527,97299,689087,181554,632140,174384,191378,3433034,42528.0,398431,2689694,624775,1554179,2052406,901606
2019-01-13,625420,524685,401805,1108413,486789,115794,81817,501808,664246,744546,293828,91435,57712,432096,144596,400818,99473,116487,2174440,23156.0,235655,1629786,396234,1008861,1291832,492048
2019-01-14,1139809,1016870,547305,2060305,808852,217706,94110,844661,1148900,1517822,551250,158794,84516,777164,140558,851979,162681,170691,4237259,30390.0,460645,2938941,428247,1578728,2374174,709457
2019-01-15,1204183,1059687,589105,2185960,821204,222307,99548,881691,1220804,1565800,579698,167504,93016,812224,151813,888961,177899,191541,4428161,36393.0,481191,3132562,502562,1682869,2512589,808950
2019-01-16,1224353,1074959,654290,2215485,829448,226651,125960,908269,1273561,1560270,596189,172473,107032,836557,176753,891790,193784,211071,4520387,41831.0,494565,3222198,594911,1800386,2550828,847332
2019-01-17,1209450,1062322,589813,2176984,821160,224680,105483,874221,1213027,1566732,579135,164531,93200,815986,168311,890427,176269,185683,4427516,34828.0,481401,3101177,551263,1709634,2472218,792199
2019-01-18,1231787,1082580,673068,2229809,866215,236216,126094,949572,1271446,1564355,609504,176389,107462,850369,216307,930427,188664,208615,4516595,41123.0,506888,3279337,689725,1893459,2634813,931726
2019-01-19,1011587,840024,680868,1851037,634694,189100,128656,857306,1127376,1109401,476462,146757,118465,719744,228321,657585,177062,219976,3529420,49420.0,407472,2894680,785497,1733219,2154312,979483
2019-01-20,713668,561601,533155,1249886,499189,134197,113593,608525,783570,772696,352281,109641,88901,502619,207885,422566,134691,164627,2438240,40022.0,267774,1975399,675652,1326957,1527394,724037
2019-01-21,1153425,1026921,596933,2093647,816804,222218,106437,877466,1166675,1503717,562770,165338,91913,793512,173891,846261,170331,181747,4337987,34311.0,472289,3043542,615022,1685802,2466716,822938
2019-01-22,1094512,962270,575633,1975704,752809,200948,109231,809522,1106702,1363083,538133,158855,94025,742173,165574,780159,169153,182681,4027254,36770.0,436409,2842862,597870,1592418,2290076,762323
2019-01-23,834143,724946,447780,1548780,548829,162206,83702,609019,846963,970433,417810,117212,66739,593822,132708,587530,139357,134425,3127849,28631.0,327953,2094806,435437,1239264,1684385,525644
2019-01-24,887277,755363,463328,1623060,596173,171050,85207,652669,879473,1084548,431545,121312,69033,621136,143540,622133,139989,138325,3278676,28042.0,352036,2244995,466536,1306576,1826327,578039
2019-01-25,1146270,986332,642628,2064987,795376,221261,122685,891200,1176332,1404896,552726,166120,100958,806575,214744,807500,178380,195750,4223194,37340.0,458709,3012115,674358,1788523,2424609,889303
2019-01-26,986771,798937,593716,1749956,675302,183587,125316,838935,1049140,1093882,452472,144470,99759,667953,208186,643696,144009,195219,3395818,33782.0,385685,2692193,731109,1580702,2119209,996970
2019-01-27,693709,559957,491740,1185814,435137,124993,105858,562610,739371,752165,334958,110675,72023,449061,199036,429455,108644,144606,2403686,30700.0,248456,1824868,635786,1206687,1404278,631853
2019-01-28,1111811,1000198,554665,1946860,828845,199997,102823,826235,1136812,1470718,538660,162215,87816,694574,153145,838431,148460,176245,4147891,29480.0,451841,2897682,574027,1526686,2350183,815284
2019-01-29,1195560,1061740,611276,2086669,864925,209366,114049,886803,1219590,1535938,577851,171707,95918,730850,161958,882903,164535,192120,4421447,37545.0,489323,3121183,632866,1635023,2535740,888930
2019-01-30,1187831,1066577,598988,2081375,841107,205808,113669,879667,1226657,1516499,578018,174958,94444,735412,158812,884251,159244,190546,4418767,34680.0,475274,3076508,611066,1622343,2459759,837697
2019-01-31,1215495,1076965,621944,2114492,880565,206104,116828,902641,1240223,1566700,582958,178807,97691,740190,178687,895401,162967,195943,4456080,37508.0,492095,3165175,667284,1681527,2521984,891099
2019-02-01,1217805,1077981,672855,2147032,729739,214513,126434,901049,1278313,1506848,596980,180202,104917,780336,213660,876785,169808,207815,4519898,36924.0,485841,3180801,675821,1829247,2500651,941576
2019-02-02,996600,836286,651345,1760767,614461,175811,120533,814640,1084240,1111627,443443,151939,105525,698169,224325,665256,155595,206241,3513148,40446.0,410866,2749817,748946,1693652,2157719,1031611
2019-02-03,656740,536601,444518,1107923,467688,118084,88348,538335,683328,783144,299300,104568,61647,441821,167930,413328,96637,126280,2278399,24641.0,258611,1746447,501090,1099412,1443405,657183
2019-02-04,1086803,1022436,609020,1940985,857809,202078,117323,871810,1169116,1494708,528720,169780,98767,791870,174288,841006,175905,195676,4142801,38254.0,477681,2980081,661580,1704243,2469966,974479
2019-02-05,1128727,1057874,642120,2016708,871862,205877,124687,905498,1225105,1529174,543975,177511,108729,816957,179590,873686,187157,212481,4274565,42022.0,494822,3122229,685799,1753693,2536971,988874
2019-02-06,1161380,1098658,686666,2059475,903585,210864,155600,930199,1272748,1534988,561096,189261,113611,843641,192453,898047,200439,225209,4361612,46552.0,507181,3199292,731906,1841699,2593776,1029068
2019-02-07,1154204,1072696,626263,2057625,897437,212932,117856,903275,1232869,1573149,551144,179144,98801,831392,179326,889652,181232,196970,4355285,36538.0,494187,3073920,662383,1755065,2548764,954369
2019-02-08,1181670,1099712,726622,2129051,930439,225100,145077,970497,1315375,1607849,572313,190071,114562,887880,242558,907480,197345,223811,4483427,41861.0,514078,3267853,826637,1997679,2726489,1127199
2019-02-09,972532,881690,674495,1758502,723649,184202,147619,797330,1091049,1123358,439120,150823,112169,742969,258278,695466,162340,216296,3345216,39860.0,394838,2721618,946460,1772861,2122772,1101934
2019-02-10,678107,568517,503880,1191085,458122,127174,103139,569953,754315,776916,315067,98825,76371,523224,202827,453359,126747,150824,2291351,32251.0,250877,1828405,645548,1302226,1459408,739611
2019-02-11,1097239,1024574,570258,2011142,862768,222457,104623,844324,1155484,1502472,503787,168557,88989,795545,157731,865020,169649,180673,3882571,32321.0,462084,2912918,574255,1632495,2402174,852294
2019-02-12,1170387,1071655,606072,2132799,884719,234173,115704,899574,1222031,1576792,535145,175953,97697,826126,166265,903520,178813,194729,4111037,33827.0,500405,3148712,648507,1714449,2578107,954941
