,Thurgau,Glarus,Zug,Jura,Obwalden,Appenzell-Ausserrhoden,Nidwalden,Zurich,Waadt,Basel-Stadt,Wallis,Neuchatel,Appenzell-Innerrhoden,Solothurn,Aargau,Schwyz,Uri,Schaffhausen,Ticino,Basel-Landschaft,Geneve,Luzern,Freiburg,Bern,Graubunden,Sankt-Gallen
2019-12-30,687349,232632,403538,133029,123310,178587,239647,3079075,1785282,621510,1170400,349512,48305.0,873091,1608804,602765,164663,195036,757980,783154,951114,1041721,738681,2730614,1201902,1595640
2019-12-31,612641,174587,354853,123521,96674,189555,192187,2861485,1678160,529357,994885,335713,45000.0,760003,1402568,519240,121932,170772,697768,661127,808800,943908,668818,2380818,923556,1376521
2020-01-01,427942,173818,279912,96789,90015,164583,179332,1981082,1161879,392402,813384,235007,49951.0,592089,976135,484790,122500,122486,526206,500949,614100,744713,495057,1912066,844260,1094926
2020-01-02,554233,261675,379910,106854,119615,204897,245243,2401233,1335860,610098,1071186,309376,62932.0,772849,1286898,662345,173203,159464,749841,768217,896182,922998,655386,2149582,1104209,1616949
2020-01-03,707450,222376,438275,139328,102475,163736,213964,3161863,1834858,665448,1011507,360612,38153.0,903860,1661275,576533,146478,189287,735333,824138,1037614,1072507,752753,2669426,935011,1595106
2020-01-04,618657,181607,363473,124504,79809,136471,174165,2807472,1708329,580652,897896,337191,28680.0,828062,1506674,494526,129813,173505,666276,723237,971941,917336,696500,2321653,736009,1350235
2020-01-05,518916,184519,337009,100383,84154,148513,177069,2408204,1307777,426994,648841,261252,41988.0,677938,1188627,511434,139111,149504,535676,563397,764710,790577,571426,1924490,652692,1217220
2020-01-06,755165,156652,509734,151669,88500,174839,177661,3974592,2091388,795568,730578,438735,33783.0,982898,1865476,471291,100415,213524,463731,942218,1372957,1093767,792487,2754965,617333,1566311
2020-01-07,796464,140290,533103,161332,86885,172497,170743,4163487,2200058,849663,731635,472661,30644.0,1047479,1983658,542839,98791,222652,808134,983304,1443566,1143087,834796,2879067,552502,1580702
2020-01-08,821989,153627,554292,168916,90863,184245,181367,4318797,2266581,871120,766195,480713,34608.0,1085713,2064079,572302,103389,231467,834968,1030386,1465207,1192776,860510,2985469,585647,1659632
2020-01-09,855408,164028,572259,175030,91963,187945,188096,4465119,2323555,921448,773718,497811,35311.0,1136584,2138403,594713,107710,240042,853472,1072729,1545835,1220431,881019,3067824,603350,1723355
2020-01-10,879076,199571,573810,180075,95022,190493,195050,4495916,2396217,912239,844073,498849,36859.0,1153132,2169850,636753,120109,248472,876111,1082494,1554519,1262210,915365,3145239,703641,1814612
2020-01-11,718511,187992,436262,138299,94114,154515,187378,3417964,1941090,661461,838009,395720,33611.0,912852,1731424,566738,123729,195635,682137,818833,1105893,1039625,766113,2615123,719222,1499670
2020-01-12,544920,213256,366785,110360,89260,164997,175610,2592216,1481458,454901,669375,286020,48091.0,707722,1265578,554210,123973,144071,520146,597887,842670,853883,603256,2033607,672430,1314101
2020-01-13,826025,157599,555774,168294,87347,199283,178671,4338604,2296970,900587,737667,478370,36117.0,1101758,2062356,578196,104823,230128,837094,1027880,1521334,1172305,861091,2962945,578313,1664539
2020-01-14,859752,155890,580458,179685,91398,191341,185080,4570637,2398605,968180,758932,507471,36153.0,1168574,2180780,597087,104107,237158,862263,1100579,1593029,1233022,898306,3133292,586067,1715255
2020-01-15,877858,169937,596429,187449,96775,196610,198157,4622909,2441259,987804,794614,520574,39579.0,1204864,2237323,628381,113800,245995,866450,1126973,1580698,1287928,925210,3206328,629515,1777643
2020-01-16,856888,177218,583952,177357,97094,187687,193621,4511708,2354770,980953,770984,503602,36494.0,1191538,2172556,612077,111904,243475,845792,1105507,1566630,1237094,904012,3154418,631819,1736097
2020-01-17,905391,216376,611485,189606,106230,198868,211081,4653311,2470073,1043638,871921,516693,39178.0,1225923,2248446,675998,125582,254676,909367,1143857,1603755,1304509,952956,3306041,771727,1905498
2020-01-18,752315,186694,447840,150643,94701,157355,187780,3570013,2056317,739853,850597,411765,32083.0,981185,1825510,572813,111531,206741,715578,867467,1204459,1108726,851358,2768099,692140,1544520
2020-01-19,507005,187402,343197,105218,79527,124279,154537,2474316,1469936,463778,683884,272126,29796.0,709280,1274677,489927,110445,136613,502611,591664,816776,788330,620658,2004708,625827,1176472
2020-01-20,830884,176970,565362,171608,90731,179738,186011,4412559,2338581,884371,774096,479952,33732.0,1117373,2090489,609457,106193,233398,853000,1046606,1525280,1194576,893449,3051365,684193,1703845
2020-01-21,850474,175157,597691,181324,96446,187343,194082,4572241,2424883,913608,795986,513151,35520.0,1183578,2173314,622005,110278,238796,875961,1081356,1572848,1242298,926302,3193955,724154,1737038
2020-01-22,861993,179745,596206,184424,101975,192528,204744,4567391,2465339,899549,820908,522842,38531.0,1200512,2195789,639328,117555,240813,891015,1079125,1569525,1271377,952207,3250065,737255,1768962
2020-01-23,873255,193063,597837,183521,101232,193774,204758,4591666,2412437,930815,832524,516576,38920.0,1212026,2208950,650476,119863,245277,896470,1099609,1588101,1267314,941969,3236311,747768,1800813
2020-01-24,918690,240284,623755,192663,110102,203852,222146,4748839,2532766,943099,929475,533327,41789.0,1260305,2300010,718804,134941,257363,921987,1134203,1606167,1334656,1026957,3410804,841161,1971383
2020-01-25,735742,224473,470267,153364,107683,165569,217015,3663529,2059977,702372,924796,429658,40270.0,1016442,1841722,627339,132815,201447,715844,879209,1165639,1115613,883127,2845772,844775,1678108
2020-01-26,497324,225433,369196,110048,97775,143109,186399,2616023,1368755,468054,690914,270729,39169.0,740140,1284892,552976,127891,142323,528275,613719,799146,843785,632279,2097237,738962,1298594
2020-01-27,737833,166387,557483,163572,94548,162689,192292,4301061,2265585,865613,798861,462980,33933.0,1097396,1979284,593554,109322,211970,838367,1033245,1502678,1184184,870780,2972171,699874,1601598
2020-01-28,705678,139414,539987,165666,85654,148459,174407,4209163,2182106,847780,694612,466229,28159.0,1077955,1935061,548461,95187,204527,812843,994969,1460436,1135094,832036,2918355,572170,1482552
2020-01-29,741149,145333,569730,173162,88168,156708,184720,4388376,2286681,871596,733057,493908,30449.0,1124481,2024588,578396,103385,216438,881066,1026649,1554347,1206885,878731,2967871,583815,1547997
2020-01-30,697424,152543,530300,157274,86153,156711,186627,4084588,2101382,827237,746593,450453,33229.0,1027819,1871463,550892,104141,207610,797170,967753,1450386,1108556,806752,2778314,643753,1508070
2020-01-31,701131,179328,512407,150893,87050,153120,185107,3948836,2072657,795297,797313,434502,32101.0,964753,1785881,583037,122231,206904,793127,924939,1414464,1077337,790000,2658926,684892,1531097
2020-02-01,708557,209271,427013,136767,93385,152709,192089,3475749,1886583,665520,862567,390423,36078.0,887648,1661633,603644,120382,187901,664405,810801,1157898,1044953,761224,2529317,843703,1586913
2020-02-02,434354,152092,277274,93975,52788,100194,116111,2171200,1158285,417398,486148,234934,22417.0,566741,1023466,407224,87784,113402,473555,529472,735266,652025,483649,1536524,521934,973656
2020-02-03,756162,143453,483432,156940,78893,166691,165506,3871430,2122215,797939,752254,445267,30590.0,931480,1759953,539189,99226,197535,817508,938170,1426566,1078323,802604,2610754,579635,1514485
2020-02-04,804756,139798,503398,163790,79558,172773,168680,4148139,2218563,842847,727540,467982,31044.0,999685,1878290,544083,95738,210691,846812,990989,1508121,1128902,836790,2746089,538990,1578366
2020-02-05,842835,154211,525526,172889,87075,182370,182598,4297915,2328190,873870,857480,495708,35058.0,1044941,1958256,588474,104212,221480,864093,1038848,1526148,1191454,883718,2915807,596020,1666774
2020-02-06,836915,176971,522223,167477,98910,193072,202067,4237989,2239762,862948,885505,480121,39226.0,1024829,1915959,617864,120890,222460,845251,1010651,1502013,1177309,853493,2875427,728949,1711636
2020-02-07,881978,236367,537335,179065,116249,204686,232266,4314841,2382422,874157,1037868,503132,46234.0,1068215,1992686,702886,147151,232578,881652,1047870,1522073,1254724,926684,3078346,911051,1889065
2020-02-08,765763,252971,411175,145912,112801,177326,223873,3359603,2000352,660476,1049507,402027,44396.0,902344,1687523,661419,141622,199928,684674,818736,1077149,1068320,795705,2684401,989695,1721818
2020-02-09,595879,241617,347804,109462,98701,161442,194671,2541347,1457964,483437,831179,283850,44617.0,702373,1286745,583687,132326,154525,519149,617634,772636,853895,613946,2080143,861157,1430256
2020-02-10,733542,141481,441217,147692,73353,159562,158241,3461605,2061890,753198,736930,425867,29036.0,923203,1759213,513184,114727,203621,807861,892285,1212176,1018927,771327,2542582,584675,1470694
2020-02-11,776654,136846,478542,154914,75207,169243,162555,3699564,2103950,808794,740730,442045,31140.0,970620,1872808,522667,97268,220420,828468,943114,1239920,1067333,782478,2671255,573959,1528222
2020-02-12,849372,158650,518212,173887,87588,183305,182108,4032712,2331505,880642,880141,488291,35345.0,1074834,2044796,585600,110558,236960,892628,1039375,1322876,1196479,882095,2950830,675106,1685433
2020-02-13,867974,173470,527424,175334,89735,186976,188294,4111668,2320109,904261,868405,490652,36026.0,1111682,2098880,604366,119868,246045,908942,1065468,1338511,1219654,895987,3018040,747022,1746220
2020-02-14,923330,227965,552597,188721,102768,196886,214866,4269892,2544027,934217,1072603,525921,38837.0,1183261,2215833,689501,139570,263318,972286,1120020,1421341,1311103,993202,3294598,848951,1926205
2020-02-15,813585,275706,471782,146111,115961,179586,230406,3388338,2053299,729933,1129352,428431,44110.0,1019820,1871096,700661,151446,221618,749353,920182,1103735,1130301,849983,2912841,1048590,1828652
2020-02-16,584273,216695,363079,111270,86847,146176,176002,2487522,1445496,512609,841134,298842,39270.0,773234,1351392,558067,129751,169580,538380,656662,848535,847738,629858,2097991,811092,1348637
2020-02-17,827245,167879,539995,144649,84065,180052,179569,3950907,2010439,852654,905102,461316,33671.0,1096664,2038623,578714,112402,233524,846889,1016629,1438070,1096409,853837,2866941,730608,1666851
2020-02-18,874818,169143,576310,158854,93993,191555,191397,4251906,2203379,923063,996797,500289,37282.0,1174033,2170667,612096,120525,246061,905415,1079308,1558605,1182043,912797,3117265,765578,1751407
2020-02-19,877949,167775,576694,159901,84007,188651,179162,4203108,2105348,915563,892836,493610,36457.0,1174281,2167618,600004,115834,245527,920436,1083693,1514333,1168023,900223,3025756,686742,1740248
2020-02-20,902711,190295,587497,168282,92008,198489,192007,4360110,2250330,958249,1059992,524279,39480.0,1213864,2222643,635586,126295,251238,962765,1114626,1605145,1252925,944730,3222852,794325,1852229
2020-02-21,945956,235197,587718,175751,97808,204834,200953,4455692,2328641,940991,1133967,536278,39750.0,1259353,2292602,686953,141698,264683,991632,1143012,1627139,1202919,1004172,3351153,914360,1970372
2020-02-22,832671,275719,497332,157009,109748,184284,220659,3644699,2064294,692132,1133852,429215,46435.0,1081120,1950865,693236,154629,227760,762196,891222,1224604,1161536,858810,2983417,1030036,1844241
2020-02-23,560899,196325,344517,121626,76683,130509,147189,2480190,1543911,452544,838516,275016,29913.0,793074,1323896,484353,128798,149434,576505,615151,932735,792842,627459,2010880,700529,1280754
2020-02-24,857056,171801,550120,174744,90065,187715,188019,4408629,2412307,809305,951997,455261,36054.0,1131497,2121538,585692,119106,238721,808762,969079,1564903,1247475,852228,3170395,760342,1739156
2020-02-25,877935,165941,548323,181283,82631,190783,171941,4482218,2410990,828464,885894,450432,36404.0,1143077,2153798,559906,107035,241000,788283,984424,1573560,1156519,852605,3128470,729572,1757100
2020-02-26,869929,160585,554078,175548,79825,184844,169733,4423786,2332400,825768,747023,441854,33101.0,1143918,2159723,557891,99878,242483,768629,976128,1535973,1115056,817790,3084325,646990,1723364
2020-02-27,876640,169131,572156,177871,84842,186257,178108,4483793,2351403,845069,786971,437082,34832.0,1164053,2187488,580907,103903,244018,771682,1009839,1567426,1153411,832092,3118135,670374,1754442
2020-02-28,948965,228491,597942,197070,107867,203547,217150,4686360,2608646,856559,1024257,481697,40160.0,1232216,2305257,683286,131784,268707,813519,1049546,1645762,1274908,933307,3418853,851400,1976693
2020-02-29,784082,221383,443525,150245,95464,165697,192524,3564010,1994368,599124,894757,381313,36007.0,942764,1826820,597522,106792,210358,606217,775148,1146394,1029001,777029,2676550,782777,1665444
2020-03-01,591642,197014,373205,112983,86522,149650,168039,2708277,1472554,454477,681874,285209,37541.0,703860,1324643,535958,111295,160041,444576,584668,840397,833482,617029,2057740,648313,1330117
2020-03-02,831386,157226,546349,169479,85828,181288,175487,4158815,2247997,624801,740429,471119,33887.0,1049809,2007083,561097,95904,231179,771951,777743,1436392,1159561,869456,2923159,580077,1667992
2020-03-03,857931,153563,570997,180657,89512,183970,180418,4461004,2425600,761947,811883,510726,35442.0,1109331,2119337,575350,98854,238372,853152,913775,1563466,1214931,920963,3112871,591365,1701666
2020-03-04,884459,169311,585248,187566,99866,194863,199111,4532089,2482166,746217,876138,527684,38945.0,1141439,2169371,613986,112484,243301,890847,926675,1572244,1267131,954857,3222888,669976,1786464
2020-03-05,857339,165251,563615,180100,88290,187066,182008,4367471,2333170,747556,758175,503954,35515.0,1111761,2146113,580296,109774,237996,853944,924071,1520166,1198640,909345,3097641,608824,1731006
