,Thurgau,Glarus,Zug,Jura,Obwalden,Appenzell-Ausserrhoden,Nidwalden,Zurich,Waadt,Basel-Stadt,Wallis,Neuchatel,Appenzell-Innerrhoden,Solothurn,Aargau,Schwyz,Uri,Schaffhausen,Ticino,Basel-Landschaft,Geneve,Luzern,Freiburg,Bern,Graubunden,Sankt-Gallen
2019-12-30 00:00:00,4768,1522,2614,973,456,942,1302,24939,14342,4924,4725,2499,151.0,6929,11995,3601,933,1206,6478,5865,10112,7026,4459,17377,6542,10787
2019-12-30 01:00:00,2326,440,1088,404,209,422,525,8984,5402,2074,2108,942,61.0,2938,4883,1394,534,561,2362,2146,4381,2533,1806,6942,3459,4420
2019-12-30 02:00:00,1520,309,712,317,151,266,349,6456,3872,1398,1483,603,52.0,2008,3256,965,251,375,1615,1519,2665,2007,1524,5205,2160,3116
2019-12-30 03:00:00,1684,302,679,302,149,300,471,6789,4696,1458,1701,829,57.0,2420,3764,937,413,384,1513,1780,2670,2157,1684,5673,2001,3612
2019-12-30 04:00:00,3655,559,1371,523,237,734,672,13236,7480,2815,2607,1202,142.0,5116,8770,1749,553,849,2463,3599,5031,5050,3121,10155,2277,6802
2019-12-30 05:00:00,8623,1566,4226,1189,752,1672,1797,38799,15914,6392,5993,3179,330.0,12907,23049,4885,1038,2296,5567,9410,9240,12884,8514,30022,4899,15962
2019-12-30 06:00:00,20383,4594,10968,2655,2218,4599,4647,85317,37902,15015,15364,7924,1031.0,27605,48678,13827,2795,4709,14641,22528,15011,29611,20201,72457,13292,41180
2019-12-30 07:00:00,27743,12331,18787,4070,5731,6427,10909,129329,64257,23428,28643,12161,1496.0,36508,66312,27247,6692,6820,28051,31723,26754,43720,28906,107600,32393,70192
2019-12-30 08:00:00,29645,14585,20706,5172,7981,7137,14153,139746,78415,26778,51371,13861,1470.0,39706,71896,31001,8952,8302,35604,34727,41188,49035,31956,122017,58018,77155
2019-12-30 09:00:00,38511,15367,23871,7340,9376,9376,15683,166722,100749,31576,80700,18487,2066.0,49362,90427,37213,11332,10972,45755,43548,49093,59306,41829,157216,81199,93543
2019-12-30 10:00:00,45426,17883,26067,9510,9711,12386,18021,190386,123075,38557,102906,23240,3391.0,57414,104650,42448,13553,12743,55770,51629,58535,69392,50867,189488,103611,110993
2019-12-30 11:00:00,47242,16966,28651,9969,10008,14214,19242,210912,134845,44236,109037,25254,4498.0,61110,112682,45278,14046,14415,58652,57201,65981,75110,53607,205329,113001,117268
2019-12-30 12:00:00,45809,15855,28356,8778,9116,13141,17927,218245,127893,46362,98464,23735,4408.0,60219,110628,42068,13933,14094,54933,56033,68034,72778,50370,201938,105467,113568
2019-12-30 13:00:00,53990,17157,31476,11998,10483,16269,19412,235805,140226,49324,104261,28995,5096.0,67996,124305,48958,14551,16764,61788,63910,73101,85232,60223,228494,108969,130012
2019-12-30 14:00:00,55869,18147,31882,12417,10912,17047,20355,243741,152115,52393,112282,32238,5842.0,69776,129070,50273,15162,17192,66137,67259,78500,86329,61483,236722,116666,134362
2019-12-30 15:00:00,57341,19092,32563,12416,11584,16616,20976,247891,154811,52975,115859,32550,5147.0,69257,130643,50607,15360,16720,65702,65068,79596,88511,63476,240358,116633,136433
2019-12-30 16:00:00,59020,19586,33487,12281,10343,15758,20815,261091,157948,54119,100435,32684,4451.0,72320,134329,50932,13549,16646,63807,65470,80066,89087,64231,239532,97136,135855
