,Zurich,Aargau,Jura,Solothurn,Luzern,Appenzell-Auserrhoden,Basel-Stadt,Schwyz,Uri,Thurgau,Nidwalden,Basel-Landschaft,Zug,Freiburg,Glarus,Schaffhausen,Ticino,Obwalden,Appenzell-Innerrhoden,Neuchatel,Geneve,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2018-12-31,339215,143628,8407,109725,62669,12817,46207,55057,13148,53517,10359,52643,40761,46223,24755,17556,23782,6796,2281,22637,40450,243952,62292,124981,160258,110924
2019-01-01,260968,120007,6745,97589,54219,10232,42197,55212,15407,41121,10505,47300,35669,34265,28442,13388,19080,6610,2613,17427,35459,222594,66650,116805,118626,101770
2019-01-02,292068,148576,7404,122957,59082,11531,59607,64535,16777,49383,9755,66153,43712,43226,32289,14768,28179,6355,2124,21395,47803,245756,72498,138387,138801,111545
2019-01-03,452659,205012,9736,155348,78533,13876,67749,67354,14122,68753,12133,78760,56479,55655,30854,20874,24444,7563,2384,26888,58064,320647,67026,157751,196881,111608
2019-01-04,467873,211895,10133,160813,82520,14200,69125,68944,14011,70523,12236,80994,58042,57429,31740,21506,25455,8013,2407,28080,58849,325768,67172,162781,202472,114197
2019-01-05,338276,159987,8186,127413,63114,11601,51088,59011,13282,55131,9950,61342,43656,44569,28623,16064,24001,6253,2082,21686,41959,261795,62160,135952,157072,95531
2019-01-06,268177,131046,6996,107761,50306,9935,42817,56995,14196,43119,7457,49234,38344,36177,26394,12483,20898,4656,1797,19104,39035,201212,50811,113501,121498,74510
2019-01-07,613103,269744,12112,198857,93157,15449,81611,68874,10992,85335,11036,95138,73851,69605,26855,25590,28889,6924,2080,35567,76506,365775,49367,168870,255656,86918
2019-01-08,638464,280385,12722,206785,94827,16067,82849,67125,9879,86164,10771,97416,75470,68958,25247,25521,28719,6759,2088,36383,74542,372467,47738,168896,252953,77305
2019-01-09,654307,289381,13011,212894,97994,16987,83980,71330,10325,89607,11125,99591,77711,70677,26786,25871,29642,7070,2350,37569,73750,379820,49950,176536,255181,74589
2019-01-10,697487,307544,13647,227535,102636,17242,91804,75709,11477,94334,11674,107595,81620,75263,28957,27429,30771,7242,2173,40199,79732,405018,53474,186693,270123,85774
2019-01-11,691788,302812,14816,225742,107728,19123,90710,82776,14726,99591,13586,107365,84823,79006,36102,28158,33479,8428,3014,42002,83519,421310,72379,214032,290440,107433
2019-01-12,406914,183453,9634,132570,74573,16891,54442,67309,13241,64832,11317,65194,50910,51227,30396,18860,22032,6570,2924,26315,44219,297756,61081,153556,179012,100191
2019-01-13,279469,134974,7136,102004,52255,9939,42430,55203,12167,44208,7891,48829,38394,37399,28663,12154,20256,4914,1808,20966,39718,203575,55846,118426,124835,63964
2019-01-14,656584,293768,13782,220057,99602,15966,86154,73076,11015,89767,10868,99842,79975,76490,28323,26400,31019,6826,2138,40669,83537,385627,50621,177170,274653,75242
2019-01-15,688874,309580,13728,231136,104245,17134,89463,75702,11575,91922,11732,104545,82654,76869,28413,26540,31113,7513,2556,40487,83571,411551,54346,181840,283502,87537
2019-01-16,690546,310426,14277,232927,106446,18401,88859,79504,13180,93890,13498,104662,81835,78712,31217,26590,30651,8527,2918,41120,83275,424743,59527,191108,283837,94554
2019-01-17,692968,312036,14188,236013,106832,16794,90741,76393,12079,92455,12297,105804,83328,78378,31372,26603,30781,7684,2341,42730,88598,423421,57930,186873,286687,92298
2019-01-18,669902,298929,14433,225265,106636,18279,90203,86932,14353,92703,13860,104416,82820,79864,38775,27413,33290,8776,2779,41331,86129,452668,74586,207839,299286,114665
2019-01-19,423347,200133,10267,158027,87200,15598,59016,74969,14161,65647,13940,70638,55506,60624,36777,18451,20856,8707,3499,28697,47088,384613,68106,168469,194802,106109
2019-01-20,303530,152154,8727,122647,59969,12262,47173,66440,14730,50766,10362,54505,42904,45462,35810,14002,19316,6796,2799,23633,42064,263074,66994,144624,144435,95148
2019-01-21,659661,292861,13695,218405,97753,15970,86251,76257,11306,87452,11607,100300,79281,76914,32497,26275,30076,7397,2249,39505,83758,399179,61621,183434,280127,96049
2019-01-22,579167,265859,12566,200236,90702,14931,76782,69339,11965,78468,11221,91678,73320,68810,28251,22144,27791,7068,2232,35287,70711,358556,56196,162573,243676,84426
2019-01-23,440643,204853,9441,154177,69435,11578,59038,54851,9560,62181,7749,72236,57451,53535,22510,17581,20863,5042,1632,26976,51499,263500,41839,127028,180932,57673
2019-01-24,478332,222725,10009,169549,73300,12457,63561,58575,10292,66740,8337,76867,60829,58900,24292,18983,22226,5356,1721,30148,57715,290072,45622,137331,196948,66769
2019-01-25,623386,278732,12935,214042,97552,16996,82449,84022,15192,86131,12873,97629,78881,77194,38411,25905,31185,8146,2666,38982,78367,395000,72551,194522,269677,112494
2019-01-26,401388,190398,9866,153017,74772,12831,55591,68623,14222,62352,11779,66193,51914,61195,32919,18446,23651,7316,2438,26910,47500,315556,68721,153525,191681,119589
2019-01-27,301167,149821,9205,125774,57142,10262,47556,63616,13700,46138,9465,54923,40921,44025,33811,13830,18031,5843,2189,22786,43330,239174,64217,133357,140128,87047
2019-01-28,631857,277547,13349,212188,96120,14067,85757,71952,11570,78295,11727,99205,76778,74452,28753,24505,30469,7337,2071,38928,81213,385824,56317,165731,271935,96548
2019-01-29,672938,299071,13948,229071,104600,15066,88836,76181,12737,81630,12356,104661,82285,79265,29001,25374,32033,7973,2382,42036,82390,413652,58787,172279,292020,99680
2019-01-30,664306,295459,13983,225511,102442,14688,87771,75691,12083,81658,12337,103468,80487,78535,29931,24720,31680,7952,2249,41875,83894,404015,60986,172741,283285,94453
2019-01-31,689037,305128,14448,235231,105151,14946,91997,79367,12934,83669,12804,107328,83640,80852,32640,25188,32471,8181,2558,43635,88193,424400,63426,179927,294868,102390
2019-02-01,669111,293327,14129,224438,106680,15499,88218,88412,14791,85583,13756,103468,83347,81565,39791,25810,35283,9002,2547,42860,89697,422959,76970,201491,300022,115069
2019-02-02,415671,188635,10102,150584,76289,12977,57638,70032,12407,62999,12656,67456,50924,57360,34950,17995,21516,8445,2604,28506,50715,321758,75293,161572,202211,122047
2019-02-03,302297,148097,8463,123137,57571,9717,47745,61232,12843,47126,9483,54889,41703,43974,32113,12866,18918,6370,1700,23443,45512,235458,59560,130868,144920,87544
2019-02-04,629612,269062,13244,203675,98763,16378,85659,75279,12636,86509,13382,98954,76947,74388,30906,24823,31372,9007,2558,39321,83081,386897,61325,178947,277917,111824
2019-02-05,652785,285890,14093,215778,102483,17115,87808,76854,13627,89113,14181,103049,79142,77227,30783,25700,32198,9295,2857,41570,81754,408846,63107,181765,281977,111349
2019-02-06,657920,289024,15140,220010,105740,18435,90169,81886,16061,92969,15054,107881,81268,77719,32871,25888,33773,9978,3215,42860,81772,419110,69037,193072,285104,117867
2019-02-07,667550,292658,14023,221514,104801,16562,92413,77991,12498,91039,13322,107250,80469,78460,31935,25924,32817,9151,2339,41993,86839,408833,64263,186435,290633,111033
2019-02-08,648364,283294,14346,216898,108264,18132,90142,90602,16200,93859,15306,104625,80224,80538,40965,26095,35211,10355,2901,42879,87415,421197,83717,211498,303443,139521
2019-02-09,399843,191333,9692,151726,77166,13693,60580,75417,15643,66844,13750,73815,51901,53024,40074,18476,25293,9194,2706,27792,45708,329601,83652,173355,187243,137228
2019-02-10,294145,150518,7826,124536,58914,11352,50894,64237,13446,51322,10070,57815,41051,42972,34915,13610,18974,6905,2205,23046,42733,241886,66561,140777,140500,93920
2019-02-11,589246,275015,13130,206932,96396,15966,88522,72042,11908,86384,12350,101304,73495,74235,29673,26429,32583,8254,2252,39208,83160,381293,59781,176242,272982,95921
2019-02-12,626996,293033,14399,220215,101937,16730,90473,74794,13051,89301,12755,104520,77612,77737,29711,27563,32989,8411,2150,41198,83442,407840,61758,181295,284939,107594
2019-02-13,628201,295851,13913,223285,107278,18062,90990,81026,14365,90818,14363,105493,80209,78638,33550,27696,34335,8902,2899,41476,81580,418268,70082,191855,287349,112839
2019-02-14,647254,305619,15044,230215,107646,18271,94438,84849,15522,93888,14758,109142,81274,81903,35848,28382,34518,9359,2980,43140,87464,433908,74571,200789,302939,121251
2019-02-15,616354,291357,15136,223277,106797,18851,91400,94038,17920,93923,15839,105715,78975,82574,44624,28955,36654,10047,3380,42821,87308,446355,92561,220535,307328,146923
2019-02-16,403795,197809,10544,162459,84953,16171,61055,82707,16326,67752,15969,72015,54098,62329,42538,20679,25109,9806,3714,28988,51929,358418,90582,184192,217337,154399
