,Schwyz,Uri,Basel-Stadt,Nidwalden,Thurgau,Zurich,Appenzell-Auserrhoden,Luzern,Aargau,Jura,Solothurn,Schaffhausen,Wallis,Obwalden,Ticino,Neuchatel,Geneve,Appenzell-Innerrhoden,Zug,Waadt,Basel-Landschaft,Freiburg,Glarus,Bern,Graubunden,Sankt-Gallen
2019-12-30,71222,21053,67657,16983,63422,413488,17186,92116,187827,9504,142819,19496,118889,10801,25914,25004,52517,3810,53513,151702,73696,53496,36807,341962,101174,144403
2019-12-31,60801,14832,56248,14416,57028,383566,19113,84084,163248,8773,122553,16765,99413,9032,22199,24357,42318,3765,47333,137787,60484,47657,28803,287157,78235,128772
2020-01-01,56622,16181,45242,13239,42022,273843,13888,72377,123453,7372,102896,12627,86804,8114,18365,19318,35230,3377,39044,97062,48387,34070,27200,243000,67125,100852
2020-01-02,75923,22543,68085,16039,53616,319925,18389,83322,161112,8770,136320,15645,115336,9985,26613,23586,48010,4531,50090,118003,73360,45156,39424,294306,96897,139997
2020-01-03,66903,16647,74625,15446,66079,426671,16601,94869,198119,9928,150235,18587,107501,9554,24255,26632,56474,2880,56593,156628,81329,53560,33763,334070,87096,145014
2020-01-04,57678,15189,61371,12178,52029,336535,13044,78031,166776,8278,130138,15028,103535,7501,23409,21867,44907,2082,45243,133518,67504,45276,28354,289393,72889,115443
2020-01-05,63190,17622,50048,11949,46696,301277,13585,73595,141905,7401,115178,14111,76638,7204,19696,20849,43293,3145,44932,108436,54856,39986,30358,245095,64866,111706
2020-01-06,65356,13910,90679,14281,83125,629870,20376,108717,276233,11588,197773,24832,81027,8725,15572,34793,76319,2755,74582,208958,100014,67931,27500,395340,67083,165797
2020-01-07,68619,11097,96034,14236,88990,679859,19745,114546,299443,12533,215087,25552,78965,8807,29462,37880,79414,2482,80579,221459,106887,72056,25875,421341,63429,168729
2020-01-08,73081,12855,98448,15229,92514,696190,21595,121166,311833,12700,221799,26056,83575,9130,30786,38227,79632,2796,84623,225678,110330,73104,27683,435840,68031,177217
2020-01-09,77709,13551,104691,15908,97879,729099,22307,125332,326645,13313,236277,26898,87095,9418,31031,40766,84725,3042,88032,236955,117324,77846,30441,453603,70313,187633
2020-01-10,84732,14833,101307,16493,96263,706135,22243,128924,314455,14056,228316,27917,100089,10025,33151,40168,86027,2936,87088,241600,113729,77286,37504,448459,85375,195261
2020-01-11,66101,15763,64926,14675,64977,428273,15996,95255,195808,8667,147141,18394,91545,8465,21384,26163,46264,2832,56133,157276,72712,52438,31765,323989,73174,139324
2020-01-12,68778,17480,52739,13909,52425,333353,15619,82038,157727,8297,128198,14166,79469,7952,18210,23181,43826,3722,49096,124776,58797,42880,34943,266438,71200,127225
2020-01-13,76951,12742,102017,15149,96241,714958,24908,121833,321033,13293,233695,27098,82511,9059,31285,40830,87712,3226,86424,241194,113002,79193,30576,439715,68923,185904
2020-01-14,77406,12415,117770,16074,99746,759345,22779,129252,346049,14541,253297,27668,82873,9592,31341,42590,88598,3161,89764,246903,129695,79811,29308,465413,67526,187415
2020-01-15,80850,13558,124027,17151,99831,762242,23083,134687,356425,16177,263887,28333,86929,10163,32459,43896,86619,3341,92680,246464,136715,81116,31740,479328,73968,192655
2020-01-16,80375,14400,127072,16956,99004,759515,21957,134219,362325,15474,271220,27481,87609,10332,31632,43425,92525,2523,93515,244244,140109,81447,32644,488344,73847,188416
2020-01-17,91667,16761,129299,18522,103634,754551,23920,137755,350342,16328,262547,28904,106670,10996,35080,45152,96041,3398,94335,262413,139439,85232,40996,519985,92882,209697
2020-01-18,69076,14552,76868,16641,70895,446221,17106,112310,216564,10556,166335,18892,93888,9772,22952,28868,55741,2828,59647,174157,83331,62017,33253,401909,74472,150077
2020-01-19,65735,16635,58516,12492,51453,327408,13276,78560,167350,8774,137550,13570,85642,7536,19411,24283,46823,2401,46797,131468,64560,48207,34871,291970,71214,120133
2020-01-20,79639,13391,103537,15744,94329,720806,21369,122668,323321,14108,226427,27555,87866,9621,31983,40720,89286,2891,87588,242476,114454,80255,32922,451862,77765,185582
2020-01-21,81943,14283,105225,16460,98308,762655,22280,131309,343191,14645,252009,27488,90173,9889,33129,44046,90327,3081,92957,251599,118750,83388,33289,478102,83400,190571
