canton_codes,canton_name,date,date_t0,t,wd,sunday,total_trips_2019,total_trips_2020,train_trips_2019,train_trips_2020,highway_trips_2019,highway_trips_2020,road_trips_2019,road_trips_2020,commuter_trips_2019,commuter_trips_2020,non_commuter_trips_2019,non_commuter_trips_2020,ln_total_trips_2019,ln_train_trips_2019,ln_highway_trips_2019,ln_road_trips_2019,ln_commuter_trips_2019,ln_non_commuter_trips_2019,ln_total_trips_2020,ln_train_trips_2020,ln_highway_trips_2020,ln_road_trips_2020,ln_commuter_trips_2020,ln_non_commuter_trips_2020,bag_falle,bag_tode,bag_cum_falle,bag_cum_tode,bag_hosp,bag_cum_hosp,NUTS3,cl_border,emerg1,emerg2,gath100,gath5,pub_trans_res,cross_closed,gath30,shops_closed,eth_ban_100,eth_ban_1000,eth_ban_5,eth_closed_borders,eth_closed_hair,eth_closed_museum,eth_closed_schools,eth_closed_stores-bars,eth_hygiene,eth_no_test,eth_ban_30,eth_closed_stores_bars,ihs_bag_falle,ihs_bag_tode,lag_ihs_bag_falle,lag_ihs_bag_tode,lag_bag_cum_falle,lag_bag_cum_tode,incr,dln_bag_cum_falle,tests,positivity_rate,canton_pop
AG,Aargau,2019-12-30,2020-02-25,-56,Monday,NA,1399539,1608804,143628,187827,322173,413809,933747,1007180,189278,261000,1210270,1347816,14.151653454644757,11.874981902661371,12.682843947331007,13.746960802572596,12.15097211279967,14.006354033176654,14.2910016037627,12.14327660539044,12.933159793694566,13.822664904485732,12.47227568630483,14.113996062621299,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,0,0,690445
AG,Aargau,2019-12-31,2020-02-25,-55,Tuesday,NA,1009865,1402568,120007,163248,302471,319249,587398,920082,65621,202060,944255,1200520,13.825327216517362,11.695305353396193,12.61974068408883,13.283457892905995,11.0916510456553,13.758151535768521,14.153815400052121,12.003025795915086,12.673726641548456,13.732218075488124,12.216319961981723,13.998265354229789,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-01,2020-02-25,-54,Wednesday,NA,1278172,976135,148576,123453,389618,277335,739989,575359,136263,63877,1141920,912271,14.060941490153345,11.908851890819648,12.872922050915307,13.514390600205004,11.82234212081801,13.948221614204895,13.791356175502077,11.723615795814627,12.532981440732563,13.262749472781557,11.06471463817042,13.723692374039219,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-02,2020-02-25,-53,Thursday,NA,1726939,1286898,205012,161112,430163,394401,1091774,731394,388900,125298,1338049,1161609,14.36186103513847,12.230823792992712,12.971919485608394,13.903314454160911,12.871077520143839,14.106723140823366,14.06774522935824,11.989855054286696,12.88512343720436,13.502707581218322,11.73845017906483,13.965316670956538,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-03,2020-02-25,-52,Friday,NA,1814656,1661275,211895,198119,451366,419901,1151408,1043264,380716,273281,1433953,1388004,14.411406476037248,12.263846147942134,13.020033819305924,13.956496099262935,12.84980896933089,14.175945524151299,14.323095937805313,12.196623139243444,12.947774248188859,13.857864817965961,12.518255848826232,14.143377301889116,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-04,2020-02-25,-51,Saturday,NA,1498874,1506674,159987,166776,373010,387462,965888,952446,132761,125109,1366123,1381575,14.22022471751447,11.982847840915005,12.829360507918055,13.780803164443872,11.796305798194817,14.127487358983027,14.225415130385096,12.024406873662272,12.86737305845077,13.766788691462503,11.736940636313312,14.138734710688528,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-05,2020-02-25,-50,Sunday,2020-01-05,1065168,1188627,131046,141905,304832,326498,629299,720234,75394,79047,989784,1109591,13.878643091163868,11.783303685584466,12.627516084160533,13.352361780446545,11.230482975232924,13.805242016487476,13.988309417456799,11.862913098609106,12.696179102105589,13.487331438191179,11.277797891253337,13.919502036918862,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-06,2020-02-25,-49,Monday,NA,1962984,1865476,269744,276233,434410,391702,1258841,1197551,544523,497464,1418473,1368022,14.489976322435773,12.505228640055583,12.981744067594727,14.045702014344231,13.20766546105074,14.165091498858844,14.439026806376996,12.528999991458992,12.878256625589318,13.995789196086847,13.117278471153497,14.128876458906666,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-07,2020-02-25,-48,Tuesday,NA,2016496,1983658,280385,299443,453724,417702,1282398,1266523,547579,523277,1468930,1460392,14.516871909658581,12.54391893770453,13.025244362643992,14.064242320700469,13.213262022501112,14.200044802557066,14.500453172935725,12.6096793612297,12.942523538599252,14.051785908543218,13.167866239550323,14.194215450797369,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-08,2020-02-25,-47,Wednesday,NA,2064090,2064079,289381,311833,462095,442791,1312626,1309468,535470,522562,1528631,1541530,14.540200009284098,12.575499437948935,13.043525776631025,14.087540268840211,13.190900144891662,14.239883121580052,14.540194680044912,12.650223067080514,13.000853154406807,14.085131505823378,13.16649891606861,14.248285987682381,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-09,2020-02-25,-46,Thursday,NA,2083289,2138403,307544,326645,468328,465761,1307427,1346009,545059,538156,1538241,1600260,14.549458452818053,12.636373445423288,13.056924184116674,14.083571641622603,13.208649324666762,14.246150113781136,14.575569846723932,12.69662923324833,13.051427906005658,14.11265447564291,13.195903759938105,14.285676674008315,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-10,2020-02-25,-45,Friday,NA,2232889,2169850,302812,314455,511804,482564,1418281,1372843,528587,504326,1704311,1665537,14.618806820674989,12.620867429879068,13.145697018230235,14.16495613287343,13.177962687584678,14.348671481455247,14.590168598703476,12.658596260624371,13.086868833451987,14.132394330069108,13.130978163348948,14.325658151919995,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-11,2020-02-25,-44,Saturday,NA,1788917,1731424,183453,195808,439010,422951,1166466,1112678,147040,143143,1641889,1588295,14.397120966780719,12.119713782879478,12.99227747084115,13.969489222997836,11.898459937589514,14.311357966222284,14.364454749282617,12.184889866262267,12.955011612075033,13.922280280223898,11.871599409575127,14.278171671798395,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-12,2020-02-25,-43,Sunday,2020-01-12,1108413,1265578,134974,157727,332270,356133,641180,751731,78303,87400,1030121,1178192,13.918439820520009,11.812837446279639,12.713703170399624,13.371065507715162,11.26834119542117,13.84518682903424,14.051039492785021,11.968620969456603,12.783059535570361,13.530133826171546,11.378250561643627,13.979491618028,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
AG,Aargau,2020-01-13,2020-02-25,-42,Monday,NA,2060305,2062356,293768,321033,469374,454542,1297175,1286790,588134,558103,1472184,1504263,14.53836458805865,12.590545619158917,13.05915517100559,14.075699380950834,13.284710092073981,14.202257570459109,14.539359576571751,12.679299200566529,13.027045597571124,14.067661303101394,13.232298812142833,14.223813635225744,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,NA,NA,0,0,690445
